Agent,Mean Reward,Std Reward
Random,0.3795896441829197,0.027927606061340832
Greedy (Min MI),0.4583333333333334,8.063460480619539e-17
DQN,0.34088295,0.043164675460699346
PPO,0.45120052999999993,0.0038084699065503995
