iteration,mean_residual,p25_residual,p75_residual,mean_residual_norm,p25_residual_norm,p75_residual_norm
0,34277.41247835195,34018.430540760426,34532.61373308219,1.0,0.9924445307021035,1.0074451726743205
1,33269.38769593166,32968.81033799652,33545.86764949664,0.9705921564803962,0.961823193591935,0.9786581081837108
2,33269.38769593166,32968.81033799652,33545.86764949664,0.9705921564803962,0.961823193591935,0.9786581081837108
3,33269.38769593166,32968.81033799652,33545.86764949664,0.9705921564803962,0.961823193591935,0.9786581081837108
4,33269.38769593166,32968.81033799652,33545.86764949664,0.9705921564803962,0.961823193591935,0.9786581081837108
5,33269.38769593166,32968.81033799652,33545.86764949664,0.9705921564803962,0.961823193591935,0.9786581081837108
6,33269.38769593166,32968.81033799652,33545.86764949664,0.9705921564803962,0.961823193591935,0.9786581081837108
7,33269.38769593166,32968.81033799652,33545.86764949664,0.9705921564803962,0.961823193591935,0.9786581081837108
8,33269.38769593166,32968.81033799652,33545.86764949664,0.9705921564803962,0.961823193591935,0.9786581081837108
9,33269.38769593166,32968.81033799652,33545.86764949664,0.9705921564803962,0.961823193591935,0.9786581081837108
10,33269.38769593166,32968.81033799652,33545.86764949664,0.9705921564803962,0.961823193591935,0.9786581081837108
11,33269.38769593166,32968.81033799652,33545.86764949664,0.9705921564803962,0.961823193591935,0.9786581081837108
12,33269.38769593166,32968.81033799652,33545.86764949664,0.9705921564803962,0.961823193591935,0.9786581081837108
13,33269.38769593166,32968.81033799652,33545.86764949664,0.9705921564803962,0.961823193591935,0.9786581081837108
14,33269.38769593166,32968.81033799652,33545.86764949664,0.9705921564803962,0.961823193591935,0.9786581081837108
15,33269.38769593166,32968.81033799652,33545.86764949664,0.9705921564803962,0.961823193591935,0.9786581081837108
16,33269.38769593166,32968.81033799652,33545.86764949664,0.9705921564803962,0.961823193591935,0.9786581081837108
17,33269.38769593166,32968.81033799652,33545.86764949664,0.9705921564803962,0.961823193591935,0.9786581081837108
18,33269.38769593166,32968.81033799652,33545.86764949664,0.9705921564803962,0.961823193591935,0.9786581081837108
19,33269.38769593166,32968.81033799652,33545.86764949664,0.9705921564803962,0.961823193591935,0.9786581081837108
20,33269.38769593166,32968.81033799652,33545.86764949664,0.9705921564803962,0.961823193591935,0.9786581081837108
21,33269.38769593166,32968.81033799652,33545.86764949664,0.9705921564803962,0.961823193591935,0.9786581081837108
22,33269.38769593166,32968.81033799652,33545.86764949664,0.9705921564803962,0.961823193591935,0.9786581081837108
23,33269.38769593166,32968.81033799652,33545.86764949664,0.9705921564803962,0.961823193591935,0.9786581081837108
24,33269.38769593166,32968.81033799652,33545.86764949664,0.9705921564803962,0.961823193591935,0.9786581081837108
25,33269.38769593166,32968.81033799652,33545.86764949664,0.9705921564803962,0.961823193591935,0.9786581081837108
26,33269.38769593166,32968.81033799652,33545.86764949664,0.9705921564803962,0.961823193591935,0.9786581081837108
27,33269.38769593166,32968.81033799652,33545.86764949664,0.9705921564803962,0.961823193591935,0.9786581081837108
28,33269.38769593166,32968.81033799652,33545.86764949664,0.9705921564803962,0.961823193591935,0.9786581081837108
29,33269.38769593166,32968.81033799652,33545.86764949664,0.9705921564803962,0.961823193591935,0.9786581081837108
30,33269.38769593166,32968.81033799652,33545.86764949664,0.9705921564803962,0.961823193591935,0.9786581081837108
31,33269.38769593166,32968.81033799652,33545.86764949664,0.9705921564803962,0.961823193591935,0.9786581081837108
