#{"t_start": 1765847988.766026, "env_id": "gymnasium_env/Decoder-v0"}
r,l,t
0.390617,10,13.831406
0.38922,10,13.851847
0.406189,10,13.888515
0.355914,10,13.920599
0.389669,10,13.949825
0.343656,10,13.97687
0.383785,10,14.006199
0.41264,10,14.033512
0.377181,10,14.056171
0.401172,10,14.082396
0.349579,10,14.115027
0.329601,10,14.139998
0.362734,10,14.166364
0.369524,10,14.18817
0.385203,10,14.214973
0.356691,10,14.24042
0.390107,10,14.263452
0.378937,10,14.28507
0.384787,10,14.307581
0.403785,10,14.328279
0.415821,10,14.36546
0.339299,10,14.385959
0.374005,10,14.411259
0.415546,10,14.431199
0.346882,10,14.463287
0.389387,10,14.50045
0.377957,10,14.528511
0.420742,10,14.555755
0.364178,10,14.57741
0.369524,10,14.603801
0.343535,10,14.624516
0.370701,10,14.653179
0.359941,10,14.675879
0.404668,10,14.701403
0.389002,10,14.724162
0.376565,10,14.762015
0.432461,10,14.782518
0.366189,10,14.810793
0.361458,10,14.837724
0.378113,10,14.861773
0.371253,10,14.892808
0.422196,10,14.91425
0.381222,10,14.944927
0.362985,10,14.971135
0.365356,10,14.994761
0.354561,10,15.014948
0.390428,10,15.046134
0.421157,10,15.081565
0.32213,10,15.114651
0.362189,10,15.140516
0.369562,10,15.168186
0.383488,10,15.204009
0.380427,10,15.270788
0.380842,10,15.312436
0.354328,10,15.35337
0.359579,10,15.406752
0.369873,10,15.437039
0.351512,10,15.487059
0.386972,10,15.529086
0.344024,10,15.577318
0.382308,10,15.615541
0.417221,10,15.650103
0.398269,10,15.690633
0.361962,10,15.743618
0.41144,10,15.790164
0.315369,10,15.825834
0.37993,10,15.868613
0.398396,10,15.909823
0.394923,10,15.942974
0.391737,10,15.978248
0.395704,10,16.020871
0.426244,10,16.068474
0.413429,10,16.11166
0.416132,10,16.143992
0.370274,10,16.19359
0.366683,10,16.228639
0.420636,10,16.269016
0.350864,10,16.305587
0.384786,10,16.338197
0.393896,10,16.370118
0.378817,10,16.415186
0.356807,10,16.448614
0.352159,10,16.482801
0.419229,10,16.523964
0.379489,10,16.58315
0.323864,10,16.628667
0.402452,10,16.665136
0.345143,10,16.719731
0.402421,10,16.774989
0.41298,10,16.819907
0.381673,10,16.8557
0.411179,10,16.895752
0.33636,10,16.948096
0.39924,10,16.992511
0.397659,10,17.034922
0.405331,10,17.076972
0.355328,10,17.115701
0.434881,10,17.152693
0.373232,10,17.190279
0.391462,10,17.2296
0.391335,10,17.277763
0.370969,10,17.317078
0.432548,10,17.358182
0.36052,10,17.38862
0.399839,10,17.421983
0.39899,10,17.471588
0.336357,10,17.512454
0.38482,10,17.550012
0.322486,10,17.582265
0.352779,10,17.617664
0.396966,10,17.661831
0.362727,10,17.696891
0.381095,10,17.731618
0.375951,10,17.781987
0.384557,10,17.837305
0.355671,10,17.879155
0.399488,10,17.919708
0.37753,10,17.958848
0.387439,10,18.008211
0.363901,10,18.060165
0.38473,10,18.110168
0.341682,10,18.150977
0.392739,10,18.193496
0.392457,10,18.242705
0.383395,10,18.299877
0.331386,10,18.336087
0.378538,10,18.396049
0.391481,10,18.435628
0.377681,10,18.475805
0.383293,10,18.520483
0.410843,10,18.55591
0.337648,10,18.602338
0.371017,10,18.637714
0.363769,10,18.67903
0.386539,10,18.715465
0.374555,10,18.752321
0.387222,10,18.795826
0.360605,10,18.842478
0.418615,10,18.887133
0.359617,10,18.926028
0.369383,10,18.963793
0.378284,10,19.007604
0.369114,10,19.042467
0.393908,10,19.089978
0.381481,10,19.125454
0.356043,10,19.171093
0.404396,10,19.215343
0.412925,10,22.41601
0.353802,10,22.449292
0.358757,10,22.481667
0.425847,10,22.515392
0.336204,10,22.546077
0.423225,10,22.593705
0.388619,10,22.623168
0.392546,10,22.653989
0.400021,10,22.689894
0.397037,10,22.739151
0.373809,10,22.793809
0.386075,10,22.826303
0.360423,10,22.868696
0.417014,10,22.901335
0.397229,10,22.933785
0.402542,10,22.964436
0.409182,10,23.007321
0.389192,10,23.045304
0.380191,10,23.08264
0.424365,10,23.115939
0.427415,10,23.165024
0.373519,10,23.208395
0.366077,10,23.254278
0.387242,10,23.290906
0.348934,10,23.347632
0.352848,10,23.393162
0.38799,10,23.45034
0.341365,10,23.493497
0.390824,10,23.533922
0.370408,10,23.569405
0.418317,10,23.623904
0.356649,10,23.66036
0.415059,10,23.693434
0.365413,10,23.745627
0.370742,10,23.796666
0.386539,10,23.836012
0.387004,10,23.871115
0.413709,10,23.900205
0.393988,10,23.941553
0.396586,10,23.982704
0.365656,10,24.018695
0.359225,10,24.068175
0.3624,10,24.104061
0.394708,10,24.142023
0.378899,10,24.195595
0.339159,10,24.243117
0.399523,10,24.279234
0.390868,10,24.312189
0.386777,10,24.350919
0.367567,10,24.385509
0.374468,10,24.415143
0.391176,10,24.471149
0.317092,10,24.517507
0.389474,10,24.559078
0.398947,10,24.599601
0.400363,10,24.646068
0.361627,10,24.699258
0.396845,10,24.743207
0.426418,10,24.780931
0.351819,10,24.827006
0.395821,10,24.869823
0.364413,10,24.904105
0.369746,10,24.945745
0.39093,10,24.97947
0.43179,10,25.01305
0.342407,10,25.05124
0.384203,10,25.089625
0.375969,10,25.130255
0.39358,10,25.170691
0.385768,10,25.203972
0.418001,10,25.237806
0.339156,10,25.277298
0.398042,10,25.313375
0.355506,10,25.368219
0.367062,10,25.422404
0.406395,10,25.47582
0.345016,10,25.522794
0.364184,10,25.564204
0.435287,10,25.602365
0.381576,10,25.653287
0.373759,10,25.70277
0.398759,10,25.741074
0.42904,10,25.785135
0.330243,10,25.81845
0.423262,10,25.855585
0.362621,10,25.904128
0.327749,10,25.949496
0.418681,10,25.995064
0.372123,10,26.039941
0.382554,10,26.097655
0.363416,10,26.152075
0.349794,10,26.196302
0.384458,10,26.235848
0.334938,10,26.27668
0.33504,10,26.3112
0.409893,10,26.348634
0.389964,10,26.394941
0.41318,10,26.429295
0.383691,10,26.461761
0.387737,10,26.500355
0.327648,10,26.532283
0.354839,10,26.56897
0.379046,10,26.614999
0.305436,10,26.661663
0.389777,10,26.713863
0.379847,10,26.763047
0.351654,10,26.801714
0.381596,10,26.833725
0.424722,10,26.87452
0.364377,10,26.929954
0.390779,10,26.972838
0.385628,10,27.022958
0.403632,10,27.067147
0.369121,10,27.121245
0.392347,10,27.154089
0.337562,10,27.189703
0.368186,10,27.230849
0.376975,10,27.273751
0.379617,10,27.310905
0.388912,10,27.35445
0.391946,10,27.38922
0.367022,10,27.439417
0.438194,10,27.491748
0.375948,10,27.535254
0.401031,10,27.581232
0.367582,10,27.624569
0.370869,10,27.663914
0.382113,10,27.71693
0.403452,10,27.75125
0.344633,10,27.789495
0.407566,10,27.843218
0.429278,10,27.88702
0.376835,10,27.926712
0.397342,10,27.966512
0.40247,10,28.016675
0.413232,10,28.055967
0.405462,10,28.09585
0.366535,10,28.143756
0.348781,10,28.196711
0.376193,10,28.232795
0.373291,10,28.265746
0.367006,10,28.321427
0.346058,10,28.385081
0.348465,10,28.434798
0.389854,10,28.471477
0.392934,10,28.51026
0.338855,10,28.555686
0.37319,10,28.595537
0.4067,10,28.652075
0.400051,10,28.696681
0.366215,10,28.742584
0.394396,10,28.791963
0.380243,10,28.852348
0.376472,10,28.907834
0.368589,10,28.962272
0.380085,10,29.005506
0.373469,10,29.041395
0.419248,10,29.085394
0.349012,10,29.125305
0.343807,10,29.166778
0.369963,10,29.207892
0.407782,10,29.261101
0.40937,10,29.304488
0.42172,10,29.361857
0.392518,10,29.412673
0.397073,10,29.457663
0.394582,10,29.500988
0.37436,10,29.540619
0.378727,10,29.591327
0.319041,10,29.63254
0.389333,10,29.685075
0.389577,10,29.74359
0.37074,10,29.793918
0.386188,10,29.835154
0.417931,10,29.89248
0.348598,10,29.932537
0.377321,10,29.970342
0.366269,10,30.011734
0.387367,10,30.059804
0.393957,10,30.120549
0.346344,10,30.241325
0.382077,10,30.325067
0.396945,10,30.380034
0.347879,10,30.42553
0.380407,10,30.468713
0.337146,10,30.522799
0.393358,10,30.613399
0.395133,10,30.691326
0.40716,10,30.770275
0.370017,10,30.821761
0.302541,10,30.946765
0.405716,10,31.015956
0.372031,10,31.108213
0.372462,10,31.165737
0.347768,10,31.219823
0.391975,10,31.260746
0.344275,10,31.31273
0.405387,10,31.38073
0.427066,10,31.424501
0.38874,10,31.487725
0.410682,10,31.557661
0.425448,10,31.610143
0.432218,10,31.66208
0.383493,10,31.720287
0.393162,10,31.794039
0.37608,10,35.594962
0.399365,10,35.641654
0.417448,10,35.703815
0.414577,10,35.76879
0.362131,10,35.817863
0.438269,10,35.872374
0.424,10,35.917857
0.39518,10,35.974114
0.383239,10,36.035319
0.383116,10,36.123824
0.390398,10,36.191159
0.417126,10,36.237458
