method,snr_db,frames,bit_errors,frame_errors,ber,fer,avg_messages,avg_iterations,converged_frames,code,matrix_csv,code_rate,i_max,target_frame_errors,max_frames,all_zero_only,total_time_sec,time_per_frame_ms
reldec,-1.0,10000,573078,10000,0.1492390625,1.0,12960.0,10.0,0,ab,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,10,10000,10000,True,403.79533767700195,40.379533767700195
reldec,0.0,10000,450185,9999,0.11723567708333334,0.9999,12959.8704,9.9999,1,ab,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,10,10000,10000,True,397.32694816589355,39.73269481658936
reldec,0.5,10000,379060,9967,0.09871354166666667,0.9967,12945.4848,9.9888,33,ab,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,10,10000,10000,True,387.0809428691864,38.70809428691864
reldec,1.0,10000,295039,9429,0.07683307291666666,0.9429,12609.6912,9.7297,573,ab,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,10,10000,10000,True,386.09592962265015,38.60959296226502
reldec,1.5,10000,174371,6841,0.04540911458333333,0.6841,10509.3936,8.1091,3162,ab,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,10,10000,10000,True,311.1750087738037,31.117500877380373
reldec,2.0,10000,60992,2770,0.015883333333333333,0.277,6554.3904,5.0574,7233,ab,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,10,10000,10000,True,194.90703177452087,19.490703177452087
reldec,2.5,10000,8839,453,0.002301822916666667,0.0453,3533.2848,2.7263,9549,ab,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,10,10000,10000,True,106.3801167011261,10.638011670112611
reldec,3.0,10000,514,32,0.00013385416666666667,0.0032,2436.8688,1.8803,9968,ab,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,10,10000,10000,True,73.90402269363403,7.390402269363403
