method,snr_db,frames,bit_errors,frame_errors,ber,fer,avg_messages,avg_iterations,converged_frames,code,matrix_csv,code_rate,i_max,target_frame_errors,max_frames,all_zero_only,total_time_sec,time_per_frame_ms
dyna_mi,-1.0,10000,163547,9869,0.17036145833333333,0.9869,2857.8816,9.9232,139,ab,RELDEC/matrices/H_Mackay_96_48.csv,0.5,10,10000,10000,True,41.48794078826904,4.148794078826904
dyna_mi,0.0,10000,119668,8816,0.12465416666666666,0.8816,2654.2368,9.2161,1210,ab,RELDEC/matrices/H_Mackay_96_48.csv,0.5,10,10000,10000,True,38.342973470687866,3.8342973470687864
dyna_mi,0.5,10000,91778,7418,0.09560208333333334,0.7418,2352.816,8.1695,2643,ab,RELDEC/matrices/H_Mackay_96_48.csv,0.5,10,10000,10000,True,33.636391401290894,3.3636391401290893
dyna_mi,1.0,10000,63945,5525,0.066609375,0.5525,1927.8144,6.6938,4530,ab,RELDEC/matrices/H_Mackay_96_48.csv,0.5,10,10000,10000,True,28.072322607040405,2.8072322607040405
dyna_mi,1.5,10000,36599,3327,0.03812395833333333,0.3327,1399.4496,4.8592,6727,ab,RELDEC/matrices/H_Mackay_96_48.csv,0.5,10,10000,10000,True,19.769094705581665,1.9769094705581665
dyna_mi,2.0,10000,18210,1730,0.01896875,0.173,979.9488,3.4026,8321,ab,RELDEC/matrices/H_Mackay_96_48.csv,0.5,10,10000,10000,True,14.449520349502563,1.4449520349502565
dyna_mi,2.5,10000,6516,640,0.0067875,0.064,652.4352,2.2654,9381,ab,RELDEC/matrices/H_Mackay_96_48.csv,0.5,10,10000,10000,True,9.75831151008606,0.975831151008606
dyna_mi,3.0,10000,2059,211,0.002144791666666667,0.0211,485.6256,1.6862,9793,ab,RELDEC/matrices/H_Mackay_96_48.csv,0.5,10,10000,10000,True,7.049362659454346,0.7049362659454346
