method,snr_db,frames,bit_errors,frame_errors,ber,fer,avg_messages,avg_iterations,converged_frames,code,matrix_csv,code_rate,i_max,target_frame_errors,max_frames,all_zero_only,total_time_sec,time_per_frame_ms
dyna_reldelta,-1.0,10000,163639,9887,0.17045729166666668,0.9887,2866.2624,9.9523,118,ab,RELDEC/matrices/H_Mackay_96_48.csv,0.5,10,10000,10000,True,40.08652305603027,4.008652305603027
dyna_reldelta,0.0,10000,120603,8982,0.125628125,0.8982,2739.312,9.5115,1054,ab,RELDEC/matrices/H_Mackay_96_48.csv,0.5,10,10000,10000,True,38.69239521026611,3.869239521026611
dyna_reldelta,0.5,10000,95017,7831,0.09897604166666667,0.7831,2560.8672,8.8919,2237,ab,RELDEC/matrices/H_Mackay_96_48.csv,0.5,10,10000,10000,True,35.95536255836487,3.5955362558364867
dyna_reldelta,1.0,10000,69096,6239,0.071975,0.6239,2287.872,7.944,3836,ab,RELDEC/matrices/H_Mackay_96_48.csv,0.5,10,10000,10000,True,32.4687922000885,3.24687922000885
dyna_reldelta,1.5,10000,44305,4332,0.04615104166666667,0.4332,1920.3264,6.6678,5742,ab,RELDEC/matrices/H_Mackay_96_48.csv,0.5,10,10000,10000,True,27.421500205993652,2.742150020599365
dyna_reldelta,2.0,10000,27506,2832,0.028652083333333335,0.2832,1568.8512,5.4474,7269,ab,RELDEC/matrices/H_Mackay_96_48.csv,0.5,10,10000,10000,True,21.514995574951172,2.151499557495117
dyna_reldelta,2.5,10000,14642,1532,0.015252083333333333,0.1532,1212.3936,4.2097,8531,ab,RELDEC/matrices/H_Mackay_96_48.csv,0.5,10,10000,10000,True,16.908052682876587,1.6908052682876586
dyna_reldelta,3.0,10000,7257,798,0.007559375,0.0798,948.8448,3.2946,9238,ab,RELDEC/matrices/H_Mackay_96_48.csv,0.5,10,10000,10000,True,13.355799674987793,1.3355799674987794
