source,mode,cluster_size,iteration,cluster_id,max_abs_llr,snr_db
rl,dqn | LDPC-DiscreteResidual-v0,48,5,0,13.321643039896383,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,5,1,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,5,2,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,5,3,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,5,4,13.321643039896383,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,5,5,13.221401957503417,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,5,6,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,5,7,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,5,8,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,5,9,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,5,10,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,5,11,13.321643039896383,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,6,0,13.321643039896383,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,6,1,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,6,2,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,6,3,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,6,4,13.321643039896383,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,6,5,13.221401957503417,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,6,6,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,6,7,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,6,8,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,6,9,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,6,10,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,6,11,13.321643039896383,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,7,0,13.321643039896383,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,7,1,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,7,2,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,7,3,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,7,4,13.321643039896383,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,7,5,13.221401957503417,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,7,6,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,7,7,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,7,8,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,7,9,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,7,10,12.278652157074866,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,7,11,13.321643039896383,0.0
