method,snr_db,frames,bit_errors,frame_errors,ber,fer,avg_messages,avg_iterations,converged_frames,code,matrix_csv,code_rate,i_max,target_frame_errors,max_frames,all_zero_only
deep_reldec_z2,1.0,302,9171,300,0.07908216059602649,0.9933774834437086,6467.12582781457,4.990066225165563,2,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,300,10000,True
deep_reldec_z2,2.0,488,4833,300,0.025790855532786885,0.6147540983606558,5887.770491803279,4.543032786885246,188,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,300,10000,True
deep_reldec_z2,3.0,3744,3629,300,0.002524177573005698,0.08012820512820513,3835.0384615384614,2.9591346153846154,3444,wran,RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,300,10000,True
