method,snr_db,frames,bit_errors,frame_errors,ber,fer,avg_messages,avg_iterations,converged_frames
reldec,1.0,10000,62329,5263,0.06492604166666667,0.5263,1813.5648,6.2971,4808
reldec,1.5,10000,34403,2997,0.035836458333333335,0.2997,1251.3888,4.3451,7069
reldec,2.0,10000,15900,1437,0.0165625,0.1437,831.6288,2.8876,8603
reldec,2.5,10000,5192,487,0.005408333333333334,0.0487,547.632,1.9015,9532
reldec,3.0,10000,1397,143,0.0014552083333333333,0.0143,407.3472,1.4144,9863
