method,snr_db,frames,bit_errors,frame_errors,ber,fer,avg_messages,avg_iterations,converged_frames
flooding,1.0,1000,6412,612,0.06679166666666667,0.612,2321.568,8.061,391
flooding,1.5,1000,4677,453,0.04871875,0.453,2026.08,7.035,550
flooding,2.0,1000,2220,241,0.023125,0.241,1567.872,5.444,765
flooding,2.5,1000,1333,164,0.013885416666666667,0.164,1299.744,4.513,842
flooding,3.0,1000,640,81,0.006666666666666667,0.081,1011.456,3.512,921
