method,snr_db,frames,bit_errors,frame_errors,ber,fer,avg_messages,avg_iterations,converged_frames
reldec,1.0,1000,6079,511,0.06332291666666667,0.511,1774.656,6.162,494
reldec,1.5,1000,3502,303,0.03647916666666667,0.303,1255.968,4.361,707
reldec,2.0,1000,1385,125,0.014427083333333333,0.125,796.896,2.767,878
reldec,2.5,1000,456,48,0.00475,0.048,545.472,1.894,952
reldec,3.0,1000,94,11,0.0009791666666666666,0.011,402.336,1.397,989
