method,ebn0_db,frames,bit_errors,frame_errors,ber,fer,avg_iterations,avg_messages,converged_frames
rbl,1.0,1000,6450,552,0.0671875,0.552,6.605,1902.24,459
rbl,1.5,1000,4116,384,0.042875,0.384,5.203,1498.464,624
rbl,2.0,1000,2179,224,0.02269791666666667,0.224,3.651,1051.488,788
rbl,2.5,1000,983,99,0.010239583333333333,0.099,2.494,718.272,903
rbl,3.0,1000,432,39,0.0045,0.039,1.738,500.544,962
