method,snr_db,frames,bit_errors,frame_errors,ber,fer,avg_messages,avg_iterations,converged_frames
dyna_50,1.0,1000,6168,515,0.06425,0.515,1836.864,6.378,489
dyna_50,1.5,1000,3740,322,0.03895833333333333,0.322,1369.44,4.755,682
dyna_50,2.0,1000,1743,161,0.01815625,0.161,945.504,3.283,843
dyna_50,2.5,1000,658,64,0.006854166666666666,0.064,657.216,2.282,939
dyna_50,3.0,1000,228,19,0.002375,0.019,465.696,1.617,982
