method,ebn0_db,frames,bit_errors,frame_errors,ber,fer,avg_iterations,avg_messages,converged_frames
ave_rbl,1.0,1000,6470,556,0.06739583333333334,0.556,6.647,1914.336,455
ave_rbl,1.5,1000,4090,379,0.042604166666666665,0.379,5.269,1517.472,627
ave_rbl,2.0,1000,2260,232,0.023541666666666666,0.232,3.751,1080.288,779
ave_rbl,2.5,1000,1024,107,0.010666666666666666,0.107,2.572,740.736,896
ave_rbl,3.0,1000,357,34,0.00371875,0.034,1.757,506.016,967
