method,ebn0_db,frames,bit_errors,frame_errors,ber,fer,avg_iterations,avg_messages,converged_frames
flooding,1.0,1000,6699,611,0.06978125,0.611,8.124,2339.712,393
flooding,1.5,1000,4598,462,0.04789583333333333,0.462,7.088,2041.344,544
flooding,2.0,1000,2737,295,0.028510416666666667,0.295,5.773,1662.624,714
flooding,2.5,1000,1389,162,0.01446875,0.162,4.557,1312.416,840
flooding,3.0,1000,589,68,0.006135416666666667,0.068,3.43,987.84,933
