method,snr_db,frames,bit_errors,frame_errors,ber,fer,avg_messages,avg_iterations,converged_frames
flooding,1.0,1000,6834,637,0.0711875,0.637,2344.032,8.139,367
flooding,1.5,1000,4566,468,0.0475625,0.468,2068.128,7.181,541
flooding,2.0,1000,2648,285,0.027583333333333335,0.285,1682.208,5.841,719
flooding,2.5,1000,1231,148,0.012822916666666666,0.148,1288.512,4.474,856
flooding,3.0,1000,554,68,0.0057708333333333335,0.068,999.936,3.472,932
