method,snr_db,frames,bit_errors,frame_errors,ber,fer,avg_messages,avg_iterations,converged_frames
reldec,1.0,1000,6327,528,0.06590625,0.528,1836.288,6.376,477
reldec,1.5,1000,3324,303,0.034625,0.303,1284.192,4.459,704
reldec,2.0,1000,1611,145,0.01678125,0.145,854.496,2.967,857
reldec,2.5,1000,480,51,0.005,0.051,565.632,1.964,951
reldec,3.0,1000,220,23,0.0022916666666666667,0.023,442.08,1.535,977
