method,snr_db,frames,bit_errors,frame_errors,ber,fer,avg_messages,avg_iterations,converged_frames
flooding,1.0,1000,7064,646,0.07358333333333333,0.646,2382.912,8.274,356
flooding,1.5,1000,4387,438,0.045697916666666664,0.438,2014.56,6.995,568
flooding,2.0,1000,2721,287,0.02834375,0.287,1653.12,5.74,716
flooding,2.5,1000,1226,139,0.012770833333333334,0.139,1274.112,4.424,867
flooding,3.0,1000,593,70,0.006177083333333333,0.07,982.944,3.413,931
