method,snr_db,frames,bit_errors,frame_errors,ber,fer,avg_messages,avg_iterations,converged_frames
reldec,1.0,10000,62053,5211,0.06463854166666666,0.5211,1804.2912,6.2649,4843
reldec,1.5,10000,35122,3105,0.03658541666666667,0.3105,1276.848,4.4335,6960
reldec,2.0,10000,15827,1445,0.016486458333333332,0.1445,837.4464,2.9078,8596
reldec,2.5,10000,5196,490,0.0054125,0.049,545.0976,1.8927,9521
reldec,3.0,10000,1246,122,0.0012979166666666666,0.0122,399.8016,1.3882,9885
