method,ebn0_db,frames,bit_errors,frame_errors,ber,fer,avg_iterations,avg_messages,converged_frames
max_rbl,1.0,1000,6442,553,0.06710416666666667,0.553,6.65,1915.2,457
max_rbl,1.5,1000,4069,378,0.04238541666666667,0.378,5.23,1506.24,629
max_rbl,2.0,1000,2302,236,0.023979166666666666,0.236,3.757,1082.016,776
max_rbl,2.5,1000,1041,108,0.01084375,0.108,2.568,739.584,895
max_rbl,3.0,1000,384,37,0.004,0.037,1.753,504.864,964
