method,snr_db,frames,bit_errors,frame_errors,ber,fer,avg_messages,avg_iterations,converged_frames
dyna_10,1.0,10000,61766,5258,0.06433958333333334,0.5258,1828.3104,6.3483,4799
dyna_10,1.5,10000,35434,3142,0.03691041666666667,0.3142,1311.1776,4.5527,6917
dyna_10,2.0,10000,15996,1450,0.0166625,0.145,866.8224,3.0098,8579
dyna_10,2.5,10000,5596,531,0.0058291666666666665,0.0531,585.9072,2.0344,9492
dyna_10,3.0,10000,1413,142,0.001471875,0.0142,429.6096,1.4917,9863
