method,ebn0_db,frames,bit_errors,frame_errors,ber,fer,avg_iterations,avg_messages,converged_frames
reldec,1.0,1000,6148,519,0.06404166666666666,0.519,6.271,1806.048,491
reldec,1.5,1000,3455,307,0.03598958333333333,0.307,4.598,1324.224,697
reldec,2.0,1000,1645,157,0.017135416666666667,0.157,3.156,908.928,848
reldec,2.5,1000,588,60,0.006125,0.06,2.14,616.32,942
reldec,3.0,1000,227,21,0.002364583333333333,0.021,1.559,448.992,980
