method,snr_db,frames,bit_errors,frame_errors,ber,fer,avg_messages,avg_iterations,converged_frames
dyna_10,1.0,1000,6344,531,0.06608333333333333,0.531,1855.008,6.441,474
dyna_10,1.5,1000,3413,313,0.03555208333333333,0.313,1343.232,4.664,694
dyna_10,2.0,1000,1594,146,0.016604166666666666,0.146,896.832,3.114,856
dyna_10,2.5,1000,561,56,0.00584375,0.056,591.84,2.055,950
dyna_10,3.0,1000,213,23,0.00221875,0.023,467.712,1.624,977
