method,ebn0_db,frames,bit_errors,frame_errors,ber,fer,avg_iterations,avg_messages,converged_frames
reldec,1.0,1000,6180,526,0.064375,0.526,6.419,1848.672,482
reldec,1.5,1000,3533,320,0.03680208333333333,0.32,4.757,1370.016,685
reldec,2.0,1000,1680,168,0.0175,0.168,3.307,952.416,839
reldec,2.5,1000,650,68,0.0067708333333333336,0.068,2.251,648.288,934
reldec,3.0,1000,262,23,0.0027291666666666666,0.023,1.642,472.896,978
