episode,snr_db,reward
194,1.5,368.83333333333337
195,1.5,423.0000000000005
196,1.5,450.166666666666
197,1.5,427.333333333334
198,1.5,95.16666666666666
199,1.5,140.50000000000003
200,1.5,442.6666666666666
201,2.0,232.99999999999997
202,2.0,95.0
203,2.0,451.0000000000003
204,2.0,184.66666666666663
205,2.0,141.66666666666663
206,2.0,91.66666666666667
207,2.0,431.0000000000003
208,2.0,47.83333333333333
209,2.0,94.33333333333333
210,2.0,428.3333333333338
211,2.0,48.0
212,2.0,449.333333333333
213,2.0,95.16666666666666
214,2.0,95.33333333333333
215,2.0,93.66666666666666
216,2.0,422.833333333334
217,2.0,92.66666666666666
218,2.0,94.5
219,2.0,47.16666666666667
220,2.0,433.66666666666714
221,2.0,416.1666666666673
222,2.0,48.0
223,2.0,141.66666666666666
224,2.0,46.833333333333336
225,2.0,93.33333333333331
226,2.0,93.66666666666667
227,2.0,94.33333333333333
228,2.0,95.0
229,2.0,94.83333333333333
230,2.0,95.0
231,2.0,140.0
232,2.0,47.0
233,2.0,141.33333333333331
234,2.0,94.16666666666667
235,2.0,138.33333333333337
236,2.0,47.5
237,2.0,47.33333333333333
238,2.0,432.3333333333338
239,2.0,48.0
240,2.0,94.16666666666669
241,2.0,91.66666666666664
242,2.0,142.16666666666669
243,2.0,327.5
244,2.0,273.49999999999994
245,2.0,94.16666666666666
246,2.0,140.33333333333334
247,2.0,454.833333333333
248,2.0,94.0
249,2.0,314.1666666666668
250,2.0,94.5
251,2.0,47.333333333333336
252,2.0,47.00000000000001
253,2.0,140.16666666666666
254,2.0,92.16666666666667
255,2.0,47.66666666666667
256,2.0,437.83333333333377
257,2.0,47.5
258,2.0,48.0
259,2.0,184.66666666666666
260,2.0,48.0
261,2.0,47.5
262,2.0,445.3333333333338
263,2.0,94.16666666666667
264,2.0,95.0
265,2.0,95.16666666666666
266,2.0,448.1666666666671
267,2.0,94.66666666666667
268,2.0,95.33333333333334
269,2.0,47.666666666666664
270,2.0,95.0
271,2.0,94.66666666666666
272,2.0,140.66666666666669
273,2.0,93.33333333333333
274,2.0,441.666666666667
275,2.0,138.66666666666669
276,2.0,47.666666666666664
277,2.0,138.66666666666669
278,2.0,139.83333333333331
279,2.0,48.0
280,2.0,415.8333333333342
281,2.0,92.83333333333333
282,2.0,47.833333333333336
283,2.0,187.5
284,2.0,449.66666666666697
285,2.0,94.83333333333334
286,2.0,139.66666666666669
287,2.0,48.0
288,2.0,95.5
289,2.0,95.66666666666666
290,2.0,229.00000000000003
291,2.0,46.666666666666664
292,2.0,94.33333333333334
293,2.0,47.833333333333336
294,2.0,48.0
295,2.0,420.6666666666672
296,2.0,94.83333333333334
297,2.0,46.99999999999999
298,2.0,137.33333333333334
299,2.0,231.33333333333331
300,2.0,94.66666666666666
301,2.5,47.666666666666664
302,2.5,93.16666666666666
303,2.5,47.0
304,2.5,47.83333333333333
305,2.5,48.0
306,2.5,140.5
307,2.5,47.83333333333333
308,2.5,139.5
309,2.5,47.66666666666667
310,2.5,48.0
311,2.5,47.66666666666667
312,2.5,137.66666666666666
313,2.5,47.66666666666667
314,2.5,94.66666666666667
315,2.5,47.833333333333336
316,2.5,47.666666666666664
317,2.5,94.16666666666666
318,2.5,183.83333333333334
319,2.5,142.33333333333334
320,2.5,94.83333333333333
321,2.5,93.5
322,2.5,48.0
323,2.5,230.16666666666674
324,2.5,47.333333333333336
325,2.5,47.66666666666667
326,2.5,47.666666666666664
327,2.5,47.16666666666667
328,2.5,94.5
329,2.5,141.0
330,2.5,94.83333333333334
331,2.5,442.6666666666673
332,2.5,47.0
333,2.5,95.16666666666667
334,2.5,186.16666666666666
335,2.5,95.33333333333334
336,2.5,94.16666666666667
337,2.5,141.5
338,2.5,48.0
339,2.5,185.33333333333337
340,2.5,93.16666666666666
341,2.5,94.5
342,2.5,48.0
343,2.5,95.5
344,2.5,48.0
345,2.5,142.33333333333334
346,2.5,47.33333333333333
347,2.5,94.83333333333333
348,2.5,94.16666666666667
349,2.5,47.16666666666667
350,2.5,47.66666666666667
351,2.5,47.16666666666667
352,2.5,95.0
353,2.5,139.83333333333334
354,2.5,94.66666666666666
355,2.5,95.66666666666666
356,2.5,94.33333333333333
357,2.5,94.66666666666667
358,2.5,94.16666666666666
359,2.5,47.333333333333336
360,2.5,443.0
361,2.5,95.16666666666667
362,2.5,95.33333333333333
363,2.5,95.66666666666666
364,2.5,462.9999999999998
365,2.5,47.833333333333336
366,2.5,47.66666666666667
367,2.5,46.666666666666664
368,2.5,95.33333333333333
369,2.5,47.50000000000001
370,2.5,48.0
371,2.5,47.833333333333336
372,2.5,48.0
373,2.5,141.83333333333331
374,2.5,48.0
375,2.5,47.333333333333336
376,2.5,95.66666666666666
377,2.5,142.33333333333334
378,2.5,93.33333333333334
379,2.5,47.5
380,2.5,95.33333333333333
381,2.5,94.0
382,2.5,367.1666666666665
383,2.5,94.83333333333333
384,2.5,95.33333333333334
385,2.5,94.0
386,2.5,94.66666666666666
387,2.5,95.0
388,2.5,141.83333333333331
389,2.5,47.666666666666664
390,2.5,47.0
391,2.5,94.0
392,2.5,47.833333333333336
393,2.5,448.6666666666666
394,2.5,422.16666666666663
395,2.5,95.0
396,2.5,139.83333333333334
397,2.5,95.33333333333334
398,2.5,94.33333333333333
399,2.5,47.33333333333334
400,2.5,94.66666666666666
401,3.0,139.83333333333331
402,3.0,94.83333333333333
403,3.0,47.833333333333336
404,3.0,48.0
405,3.0,94.33333333333334
406,3.0,47.333333333333336
407,3.0,95.33333333333334
408,3.0,95.33333333333333
409,3.0,95.33333333333333
410,3.0,95.16666666666667
411,3.0,46.333333333333336
412,3.0,93.33333333333331
413,3.0,47.666666666666664
414,3.0,47.66666666666667
415,3.0,95.5
416,3.0,48.0
417,3.0,47.33333333333333
418,3.0,48.0
419,3.0,47.83333333333333
420,3.0,94.83333333333333
421,3.0,47.666666666666664
422,3.0,47.0
423,3.0,94.16666666666667
424,3.0,422.0000000000001
425,3.0,48.0
426,3.0,48.0
427,3.0,93.33333333333333
428,3.0,48.0
429,3.0,47.83333333333333
430,3.0,47.66666666666667
431,3.0,47.33333333333333
432,3.0,311.33333333333337
433,3.0,95.33333333333334
434,3.0,48.0
435,3.0,47.666666666666664
436,3.0,47.333333333333336
437,3.0,47.66666666666667
438,3.0,48.0
439,3.0,47.333333333333336
440,3.0,94.66666666666667
441,3.0,48.0
442,3.0,94.66666666666666
443,3.0,46.666666666666664
444,3.0,47.33333333333333
445,3.0,94.5
446,3.0,95.0
447,3.0,94.16666666666666
448,3.0,47.66666666666667
449,3.0,47.333333333333336
450,3.0,48.0
451,3.0,47.66666666666667
452,3.0,95.0
453,3.0,141.0
454,3.0,94.33333333333333
455,3.0,95.0
456,3.0,47.833333333333336
457,3.0,48.0
458,3.0,47.666666666666664
459,3.0,48.0
460,3.0,47.333333333333336
461,3.0,434.8333333333337
462,3.0,47.33333333333333
463,3.0,47.0
464,3.0,47.83333333333333
465,3.0,48.0
466,3.0,94.83333333333334
467,3.0,48.0
468,3.0,48.0
469,3.0,48.0
470,3.0,48.0
471,3.0,48.0
472,3.0,48.0
473,3.0,47.666666666666664
474,3.0,48.0
475,3.0,95.5
476,3.0,48.0
477,3.0,47.83333333333333
478,3.0,140.33333333333334
479,3.0,47.333333333333336
480,3.0,94.33333333333333
481,3.0,47.5
482,3.0,48.0
483,3.0,95.66666666666667
484,3.0,95.0
485,3.0,48.0
486,3.0,95.33333333333333
487,3.0,47.666666666666664
488,3.0,94.83333333333333
489,3.0,47.49999999999999
490,3.0,47.333333333333336
491,3.0,48.0
492,3.0,47.5
493,3.0,48.0
494,3.0,47.833333333333336
495,3.0,443.5000000000007
496,3.0,47.66666666666667
497,3.0,47.0
498,3.0,46.833333333333336
499,3.0,95.33333333333334
500,3.0,95.5
