method,snr_db,frames,bit_errors,frame_errors,ber,fer,avg_messages,avg_iterations,converged_frames
dyna_0,1.0,1000,6053,503,0.06305208333333333,0.503,1787.904,6.208,501
dyna_0,1.5,1000,3583,301,0.037322916666666664,0.301,1285.056,4.462,704
dyna_0,2.0,1000,1630,145,0.016979166666666667,0.145,860.544,2.988,858
dyna_0,2.5,1000,569,55,0.005927083333333334,0.055,584.928,2.031,946
dyna_0,3.0,1000,213,18,0.00221875,0.018,417.024,1.448,982
