method,ebn0_db,frames,bit_errors,frame_errors,ber,fer,avg_iterations,avg_messages,converged_frames
max_res_q,1.0,1000,6078,517,0.0633125,0.517,6.27,1805.76,492
max_res_q,1.5,1000,3486,307,0.0363125,0.307,4.594,1323.072,698
max_res_q,2.0,1000,1639,162,0.017072916666666667,0.162,3.138,903.744,848
max_res_q,2.5,1000,594,63,0.0061875,0.063,2.189,630.432,938
max_res_q,3.0,1000,238,22,0.002479166666666667,0.022,1.555,447.84,979
