source,mode,cluster_size,iteration,cluster_id,max_residual,snr_db
rl,ppo | LDPC-DiscreteResidual-v0,24,2,17,4.209830332099454,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,2,18,0.0,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,2,19,4.2256117295274205,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,2,20,5.44226948515669,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,2,21,5.457859802030297,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,2,22,5.657184663401866,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,2,23,6.380369202692517,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,3,0,2.8403947746128986,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,3,1,2.323173646256856,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,3,2,3.9316165531231975,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,3,3,2.8007081040864104,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,3,4,2.466581331295488,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,3,5,3.005980979398517,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,3,6,3.337119470129416,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,3,7,3.8681641621632568,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,3,8,3.97181427600967,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,3,9,4.8706008361861945,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,3,10,5.566072994269723,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,3,11,4.622584022775526,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,3,12,4.490256007916159,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,3,13,4.8549997447151565,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,3,14,5.289278675872303,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,3,15,3.882567571941277,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,3,16,5.762796970042492,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,3,17,4.209830332099454,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,3,18,0.0,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,3,19,4.2256117295274205,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,3,20,5.44226948515669,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,3,21,5.457859802030297,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,3,22,5.657184663401866,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,3,23,6.380369202692517,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,4,0,2.8403947746128986,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,4,1,2.323173646256856,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,4,2,3.9316165531231975,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,4,3,2.8007081040864104,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,4,4,2.466581331295488,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,4,5,3.005980979398517,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,4,6,3.337119470129416,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,4,7,3.8681641621632568,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,4,8,3.97181427600967,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,4,9,4.8706008361861945,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,4,10,5.566072994269723,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,4,11,4.622584022775526,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,4,12,4.490256007916159,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,4,13,4.8549997447151565,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,4,14,5.289278675872303,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,4,15,3.882567571941277,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,4,16,5.762796970042492,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,4,17,4.209830332099454,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,4,18,0.0,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,4,19,4.2256117295274205,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,4,20,5.44226948515669,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,4,21,5.457859802030297,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,4,22,5.657184663401866,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,4,23,6.380369202692517,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,5,0,2.8403947746128986,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,5,1,2.323173646256856,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,5,2,3.9316165531231975,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,5,3,2.8007081040864104,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,5,4,2.466581331295488,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,5,5,3.005980979398517,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,5,6,3.337119470129416,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,5,7,3.8681641621632568,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,5,8,3.97181427600967,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,5,9,4.8706008361861945,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,5,10,5.566072994269723,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,5,11,4.622584022775526,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,5,12,4.490256007916159,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,5,13,4.8549997447151565,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,5,14,5.289278675872303,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,5,15,3.882567571941277,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,5,16,5.762796970042492,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,5,17,4.209830332099454,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,5,18,0.0,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,5,19,4.2256117295274205,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,5,20,5.44226948515669,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,5,21,5.457859802030297,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,5,22,5.657184663401866,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,5,23,6.380369202692517,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,6,0,2.8403947746128986,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,6,1,2.323173646256856,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,6,2,3.9316165531231975,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,6,3,2.8007081040864104,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,6,4,2.466581331295488,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,6,5,3.005980979398517,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,6,6,3.337119470129416,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,6,7,3.8681641621632568,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,6,8,3.97181427600967,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,6,9,4.8706008361861945,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,6,10,5.566072994269723,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,6,11,4.622584022775526,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,6,12,4.490256007916159,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,6,13,4.8549997447151565,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,6,14,5.289278675872303,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,6,15,3.882567571941277,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,6,16,5.762796970042492,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,6,17,4.209830332099454,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,6,18,0.0,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,6,19,4.2256117295274205,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,6,20,5.44226948515669,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,6,21,5.457859802030297,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,6,22,5.657184663401866,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,6,23,6.380369202692517,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,7,0,2.8403947746128986,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,7,1,2.323173646256856,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,7,2,3.9316165531231975,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,7,3,2.8007081040864104,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,7,4,2.466581331295488,0.0
rl,ppo | LDPC-DiscreteResidual-v0,24,7,5,3.005980979398517,0.0
