cluster_size,algo,env_id,env_short,model_path,snr_db,episodes_checked,n_actions,total_steps,unique_actions,dominant_action,dominant_action_fraction,action_entropy,normalized_entropy,is_trivial_policy,mean_episode_steps
384,dqn,gymnasium_env_2/LDPC-DiscreteMI-v0,LDPC-DiscreteMI-v0,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix2_punctured/rl/frames_50/models/cluster_384/dqn/LDPC-DiscreteMI-v0/model.zip,0.0,20,42,4200,1,6,1.0,-0.0,-0.0,True,210.0
384,dqn,gymnasium_env_2/LDPC-DiscreteResidual-v0,LDPC-DiscreteResidual-v0,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix2_punctured/rl/frames_50/models/cluster_384/dqn/LDPC-DiscreteResidual-v0/model.zip,0.0,20,42,4200,3,31,0.6126190476190476,0.6695607421961884,0.17913855706265,False,210.0
384,ppo,gymnasium_env_2/LDPC-DiscreteMI-v0,LDPC-DiscreteMI-v0,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix2_punctured/rl/frames_50/models/cluster_384/ppo/LDPC-DiscreteMI-v0/model.zip,0.0,20,42,4200,1,19,1.0,-0.0,-0.0,True,210.0
384,ppo,gymnasium_env_2/LDPC-DiscreteResidual-v0,LDPC-DiscreteResidual-v0,/root/Research/RithvikDecoder/Decoder/RL/results/newmatrix2_punctured/rl/frames_50/models/cluster_384/ppo/LDPC-DiscreteResidual-v0/model.zip,0.0,20,42,4200,1,27,1.0,-0.0,-0.0,True,210.0
