source,mode,cluster_size,iteration,cluster_id,avg_abs_llr,snr_db
rl,dqn | LDPC-DiscreteMI-v0,384,1,25,3.2032894583700107,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,1,26,3.453815854254601,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,1,27,3.0453447750374796,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,1,28,3.292616220827218,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,1,29,2.9154131964206256,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,1,30,3.7251216718933877,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,1,31,2.7123109058337938,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,1,32,3.474627586007141,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,1,33,3.247631607646666,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,1,34,3.273463668015157,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,1,35,3.451907233481356,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,1,36,3.405606111260804,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,1,37,2.724438229561849,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,1,38,3.451907233481356,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,1,39,3.420547480030548,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,1,40,3.100547795631275,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,1,41,3.451907233481356,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,2,0,4.422382544201729,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,2,1,4.495454725657839,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,2,2,4.188496883782267,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,2,3,4.33732041807605,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,2,4,4.484448396353051,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,2,5,4.564420912067882,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,2,6,4.810689074156299,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,2,7,4.480438663490418,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,2,8,4.256078479898369,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,2,9,4.237996309493003,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,2,10,4.439444854277895,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,2,11,4.498064788514997,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,2,12,4.332868510062275,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,2,13,4.256536417921963,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,2,14,4.34614957566409,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,2,15,4.46147925891832,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,2,16,4.457960200073542,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,2,17,4.466473957251738,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,2,18,4.465050199186734,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,2,19,4.255153574979312,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,2,20,3.2360000370193167,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,2,21,3.2222749574829836,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,2,22,2.76139881037142,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,2,23,3.442610033609416,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,2,24,3.2811779540646975,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,2,25,3.2032894583700107,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,2,26,3.453815854254601,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,2,27,3.0453447750374796,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,2,28,3.292616220827218,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,2,29,2.9154131964206256,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,2,30,3.7251216718933877,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,2,31,2.7123109058337938,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,2,32,3.474627586007141,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,2,33,3.247631607646666,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,2,34,3.273463668015157,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,2,35,3.451907233481356,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,2,36,3.405606111260804,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,2,37,2.724438229561849,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,2,38,3.451907233481356,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,2,39,3.420547480030548,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,2,40,3.100547795631275,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,2,41,3.451907233481356,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,3,0,4.422382544201729,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,3,1,4.495454725657839,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,3,2,4.188496883782267,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,3,3,4.33732041807605,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,3,4,4.484448396353051,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,3,5,4.564420912067882,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,3,6,4.810689074156299,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,3,7,4.480438663490418,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,3,8,4.256078479898369,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,3,9,4.237996309493003,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,3,10,4.439444854277895,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,3,11,4.498064788514997,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,3,12,4.332868510062275,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,3,13,4.256536417921963,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,3,14,4.34614957566409,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,3,15,4.46147925891832,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,3,16,4.457960200073542,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,3,17,4.466473957251738,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,3,18,4.465050199186734,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,3,19,4.255153574979312,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,3,20,3.2360000370193167,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,3,21,3.2222749574829836,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,3,22,2.76139881037142,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,3,23,3.442610033609416,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,3,24,3.2811779540646975,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,3,25,3.2032894583700107,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,3,26,3.453815854254601,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,3,27,3.0453447750374796,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,3,28,3.292616220827218,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,3,29,2.9154131964206256,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,3,30,3.7251216718933877,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,3,31,2.7123109058337938,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,3,32,3.474627586007141,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,3,33,3.247631607646666,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,3,34,3.273463668015157,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,3,35,3.451907233481356,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,3,36,3.405606111260804,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,3,37,2.724438229561849,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,3,38,3.451907233481356,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,3,39,3.420547480030548,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,3,40,3.100547795631275,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,3,41,3.451907233481356,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,4,0,4.422382544201729,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,4,1,4.495454725657839,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,4,2,4.188496883782267,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,4,3,4.33732041807605,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,4,4,4.484448396353051,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,4,5,4.564420912067882,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,4,6,4.810689074156299,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,4,7,4.480438663490418,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,4,8,4.256078479898369,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,4,9,4.237996309493003,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,4,10,4.439444854277895,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,4,11,4.498064788514997,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,4,12,4.332868510062275,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,4,13,4.256536417921963,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,4,14,4.34614957566409,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,4,15,4.46147925891832,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,4,16,4.457960200073542,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,4,17,4.466473957251738,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,4,18,4.465050199186734,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,4,19,4.255153574979312,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,4,20,3.2360000370193167,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,4,21,3.2222749574829836,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,4,22,2.76139881037142,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,4,23,3.442610033609416,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,4,24,3.2811779540646975,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,4,25,3.2032894583700107,0.0
rl,dqn | LDPC-DiscreteMI-v0,384,4,26,3.453815854254601,0.0
