source,mode,cluster_size,iteration,cluster_id,max_abs_llr,snr_db
baseline,serial_emulated,48,7,11,11.440631936758273,0.0
baseline,serial_emulated,48,8,0,13.190018717476084,0.0
baseline,serial_emulated,48,8,1,11.440631936758273,0.0
baseline,serial_emulated,48,8,2,13.190018717476084,0.0
baseline,serial_emulated,48,8,3,11.66318145706882,0.0
baseline,serial_emulated,48,8,4,11.440631936758273,0.0
baseline,serial_emulated,48,8,5,11.440631936758273,0.0
baseline,serial_emulated,48,8,6,11.839148153182606,0.0
baseline,serial_emulated,48,8,7,11.440631936758273,0.0
baseline,serial_emulated,48,8,8,13.190018717476084,0.0
baseline,serial_emulated,48,8,9,11.66318145706882,0.0
baseline,serial_emulated,48,8,10,11.440631936758273,0.0
baseline,serial_emulated,48,8,11,11.440631936758273,0.0
baseline,serial_emulated,48,9,0,13.190018717476084,0.0
baseline,serial_emulated,48,9,1,11.440631936758273,0.0
baseline,serial_emulated,48,9,2,13.190018717476084,0.0
baseline,serial_emulated,48,9,3,11.66318145706882,0.0
baseline,serial_emulated,48,9,4,11.440631936758273,0.0
baseline,serial_emulated,48,9,5,11.440631936758273,0.0
baseline,serial_emulated,48,9,6,11.839148153182606,0.0
baseline,serial_emulated,48,9,7,11.440631936758273,0.0
baseline,serial_emulated,48,9,8,13.190018717476084,0.0
baseline,serial_emulated,48,9,9,11.66318145706882,0.0
baseline,serial_emulated,48,9,10,11.440631936758273,0.0
baseline,serial_emulated,48,9,11,11.440631936758273,0.0
baseline,serial_emulated,48,10,0,13.190018717476084,0.0
baseline,serial_emulated,48,10,1,11.440631936758273,0.0
baseline,serial_emulated,48,10,2,13.190018717476084,0.0
baseline,serial_emulated,48,10,3,11.66318145706882,0.0
baseline,serial_emulated,48,10,4,11.440631936758273,0.0
baseline,serial_emulated,48,10,5,11.440631936758273,0.0
baseline,serial_emulated,48,10,6,11.839148153182606,0.0
baseline,serial_emulated,48,10,7,11.440631936758273,0.0
