method,snr_db,frames,bit_errors,frame_errors,ber,fer,avg_messages,avg_iterations,converged_frames,code,matrix_csv,code_rate,i_max,target_frame_errors,max_frames,all_zero_only
flooding,3.25,64,84,10,0.00341796875,0.15625,5042.25,3.890625,54,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,10,200,True
random,3.25,184,72,10,0.0010190217391304348,0.05434782608695652,3345.6521739130435,2.5815217391304346,174,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,10,200,True
round_robin,3.25,200,61,9,0.0007942708333333334,0.045,3142.8,2.425,191,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,10,200,True
reldec,3.25,200,46,6,0.0005989583333333333,0.03,2967.84,2.29,194,wran,/root/Research/RithvikDecoder/Decoder/RELDEC/matrices/WRAN_irreg_384_256.csv,0.6666666666666667,5,10,200,True
