source,mode,cluster_size,iteration,cluster_id,avg_abs_llr,snr_db
baseline,parallel,384,2,21,19.308574634244096,0.0
baseline,parallel,384,2,22,18.501629192646874,0.0
baseline,parallel,384,2,23,19.08660229712345,0.0
baseline,parallel,384,2,24,18.246614009256582,0.0
baseline,parallel,384,2,25,21.518643401952957,0.0
baseline,parallel,384,2,26,14.520217709171751,0.0
baseline,parallel,384,2,27,21.698864318027056,0.0
baseline,parallel,384,2,28,18.486710948872254,0.0
baseline,parallel,384,2,29,17.686838877312173,0.0
baseline,parallel,384,2,30,14.677043127043847,0.0
baseline,parallel,384,2,31,23.04472477796045,0.0
baseline,parallel,384,2,32,20.128401330756542,0.0
baseline,parallel,384,2,33,14.000655428310269,0.0
baseline,parallel,384,2,34,20.068917757193702,0.0
baseline,parallel,384,2,35,25.929347972301212,0.0
baseline,parallel,384,2,36,18.716608039553293,0.0
baseline,parallel,384,2,37,14.863936791752943,0.0
baseline,parallel,384,2,38,25.927877251007292,0.0
baseline,parallel,384,2,39,21.530928700273464,0.0
baseline,parallel,384,2,40,12.644699031314005,0.0
baseline,parallel,384,2,41,25.928952752323905,0.0
baseline,parallel,384,3,0,39.76656721776846,0.0
baseline,parallel,384,3,1,35.450598048746926,0.0
baseline,parallel,384,3,2,36.794308450582676,0.0
baseline,parallel,384,3,3,33.28692539622599,0.0
baseline,parallel,384,3,4,inf,0.0
baseline,parallel,384,3,5,44.22272968155139,0.0
baseline,parallel,384,3,6,38.38814936643252,0.0
baseline,parallel,384,3,7,39.053981681089084,0.0
baseline,parallel,384,3,8,42.66989649246265,0.0
baseline,parallel,384,3,9,38.60094057924464,0.0
baseline,parallel,384,3,10,42.51982258602909,0.0
baseline,parallel,384,3,11,35.18896986970582,0.0
baseline,parallel,384,3,12,39.790352426922084,0.0
baseline,parallel,384,3,13,39.64519979529236,0.0
baseline,parallel,384,3,14,39.32128374214945,0.0
baseline,parallel,384,3,15,40.792964903980035,0.0
baseline,parallel,384,3,16,38.89149103997645,0.0
baseline,parallel,384,3,17,38.807428741652274,0.0
baseline,parallel,384,3,18,36.93414912714818,0.0
baseline,parallel,384,3,19,43.71697405857839,0.0
baseline,parallel,384,3,20,38.58577812788408,0.0
baseline,parallel,384,3,21,32.973044979923735,0.0
baseline,parallel,384,3,22,31.160366818924345,0.0
baseline,parallel,384,3,23,32.320800981294276,0.0
baseline,parallel,384,3,24,31.242102957825207,0.0
baseline,parallel,384,3,25,36.42825911211392,0.0
baseline,parallel,384,3,26,24.9102837125058,0.0
baseline,parallel,384,3,27,36.63126981825058,0.0
baseline,parallel,384,3,28,31.03943333244321,0.0
baseline,parallel,384,3,29,31.79000276708588,0.0
baseline,parallel,384,3,30,25.7847619090616,0.0
baseline,parallel,384,3,31,37.94433174687585,0.0
baseline,parallel,384,3,32,33.37488518879663,0.0
baseline,parallel,384,3,33,24.370501456604597,0.0
baseline,parallel,384,3,34,33.18875330757214,0.0
baseline,parallel,384,3,35,42.04057471172886,0.0
baseline,parallel,384,3,36,31.563099268596783,0.0
baseline,parallel,384,3,37,25.58618148989382,0.0
baseline,parallel,384,3,38,42.03240094823546,0.0
baseline,parallel,384,3,39,35.63084183663774,0.0
baseline,parallel,384,3,40,22.22002036921782,0.0
baseline,parallel,384,3,41,42.03974672583028,0.0
baseline,parallel,384,4,0,59.178430954809876,0.0
baseline,parallel,384,4,1,53.751368598953846,0.0
baseline,parallel,384,4,2,56.399210569886954,0.0
baseline,parallel,384,4,3,51.804535942939495,0.0
baseline,parallel,384,4,4,inf,0.0
baseline,parallel,384,4,5,inf,0.0
baseline,parallel,384,4,6,54.377303784521914,0.0
baseline,parallel,384,4,7,inf,0.0
baseline,parallel,384,4,8,inf,0.0
baseline,parallel,384,4,9,inf,0.0
baseline,parallel,384,4,10,inf,0.0
baseline,parallel,384,4,11,inf,0.0
baseline,parallel,384,4,12,inf,0.0
baseline,parallel,384,4,13,inf,0.0
baseline,parallel,384,4,14,55.62225716586015,0.0
baseline,parallel,384,4,15,inf,0.0
baseline,parallel,384,4,16,55.281106660100455,0.0
baseline,parallel,384,4,17,inf,0.0
baseline,parallel,384,4,18,inf,0.0
baseline,parallel,384,4,19,inf,0.0
baseline,parallel,384,4,20,inf,0.0
baseline,parallel,384,4,21,inf,0.0
baseline,parallel,384,4,22,47.86309045604452,0.0
baseline,parallel,384,4,23,inf,0.0
baseline,parallel,384,4,24,48.706406123113716,0.0
baseline,parallel,384,4,25,inf,0.0
baseline,parallel,384,4,26,39.52669756821872,0.0
baseline,parallel,384,4,27,inf,0.0
baseline,parallel,384,4,28,47.15631440964612,0.0
baseline,parallel,384,4,29,inf,0.0
baseline,parallel,384,4,30,41.21993232656436,0.0
baseline,parallel,384,4,31,inf,0.0
baseline,parallel,384,4,32,inf,0.0
baseline,parallel,384,4,33,40.09884652976538,0.0
baseline,parallel,384,4,34,inf,0.0
baseline,parallel,384,4,35,inf,0.0
baseline,parallel,384,4,36,47.700261686907254,0.0
baseline,parallel,384,4,37,inf,0.0
baseline,parallel,384,4,38,inf,0.0
baseline,parallel,384,4,39,inf,0.0
baseline,parallel,384,4,40,37.94291147857722,0.0
baseline,parallel,384,4,41,inf,0.0
baseline,parallel,384,5,0,59.178430954809876,0.0
baseline,parallel,384,5,1,53.751368598953846,0.0
baseline,parallel,384,5,2,56.399210569886954,0.0
baseline,parallel,384,5,3,51.804535942939495,0.0
baseline,parallel,384,5,4,inf,0.0
baseline,parallel,384,5,5,inf,0.0
baseline,parallel,384,5,6,54.377303784521914,0.0
baseline,parallel,384,5,7,inf,0.0
baseline,parallel,384,5,8,inf,0.0
baseline,parallel,384,5,9,inf,0.0
baseline,parallel,384,5,10,inf,0.0
baseline,parallel,384,5,11,inf,0.0
baseline,parallel,384,5,12,inf,0.0
baseline,parallel,384,5,13,inf,0.0
baseline,parallel,384,5,14,55.62225716586015,0.0
baseline,parallel,384,5,15,inf,0.0
baseline,parallel,384,5,16,55.281106660100455,0.0
baseline,parallel,384,5,17,inf,0.0
baseline,parallel,384,5,18,inf,0.0
baseline,parallel,384,5,19,inf,0.0
baseline,parallel,384,5,20,inf,0.0
baseline,parallel,384,5,21,inf,0.0
baseline,parallel,384,5,22,47.86309045604452,0.0
baseline,parallel,384,5,23,inf,0.0
baseline,parallel,384,5,24,48.706406123113716,0.0
baseline,parallel,384,5,25,inf,0.0
baseline,parallel,384,5,26,39.52669756821872,0.0
baseline,parallel,384,5,27,inf,0.0
baseline,parallel,384,5,28,47.15631440964612,0.0
baseline,parallel,384,5,29,inf,0.0
baseline,parallel,384,5,30,41.21993232656436,0.0
baseline,parallel,384,5,31,inf,0.0
baseline,parallel,384,5,32,inf,0.0
baseline,parallel,384,5,33,40.09884652976538,0.0
baseline,parallel,384,5,34,inf,0.0
baseline,parallel,384,5,35,inf,0.0
baseline,parallel,384,5,36,47.700261686907254,0.0
baseline,parallel,384,5,37,inf,0.0
baseline,parallel,384,5,38,inf,0.0
baseline,parallel,384,5,39,inf,0.0
baseline,parallel,384,5,40,37.94291147857722,0.0
baseline,parallel,384,5,41,inf,0.0
