source,mode,cluster_size,iteration,cluster_id,avg_abs_llr,snr_db
baseline,residual,384,2,40,3.5801610422044674,0.0
baseline,residual,384,2,41,4.317701983312367,0.0
baseline,residual,384,3,0,5.851663652688454,0.0
baseline,residual,384,3,1,5.3811875644147555,0.0
baseline,residual,384,3,2,5.209056066706064,0.0
baseline,residual,384,3,3,4.8948434731596,0.0
baseline,residual,384,3,4,6.118008451255027,0.0
baseline,residual,384,3,5,5.844078058694662,0.0
baseline,residual,384,3,6,5.61584836756597,0.0
baseline,residual,384,3,7,5.300397102026413,0.0
baseline,residual,384,3,8,5.426239097268566,0.0
baseline,residual,384,3,9,5.435897905374274,0.0
baseline,residual,384,3,10,5.860687276744939,0.0
baseline,residual,384,3,11,5.224968313781657,0.0
baseline,residual,384,3,12,6.177615472148676,0.0
baseline,residual,384,3,13,5.149521062118208,0.0
baseline,residual,384,3,14,5.4553254741908725,0.0
baseline,residual,384,3,15,6.6034436620225065,0.0
baseline,residual,384,3,16,5.1730882157795985,0.0
baseline,residual,384,3,17,5.1614631407333125,0.0
baseline,residual,384,3,18,6.407192114902128,0.0
baseline,residual,384,3,19,5.8255536329127935,0.0
baseline,residual,384,3,20,4.313583395655318,0.0
baseline,residual,384,3,21,3.9305527715985598,0.0
baseline,residual,384,3,22,3.3156605841192883,0.0
baseline,residual,384,3,23,4.399307002412076,0.0
baseline,residual,384,3,24,3.557343809901603,0.0
baseline,residual,384,3,25,3.8958029743598246,0.0
baseline,residual,384,3,26,3.7265750293966238,0.0
baseline,residual,384,3,27,4.475781911469231,0.0
baseline,residual,384,3,28,3.5500385988976397,0.0
baseline,residual,384,3,29,3.890311524150426,0.0
baseline,residual,384,3,30,3.7650844841714455,0.0
baseline,residual,384,3,31,3.2775254962036993,0.0
baseline,residual,384,3,32,3.971474808533627,0.0
baseline,residual,384,3,33,4.051759526085725,0.0
baseline,residual,384,3,34,3.944313784113478,0.0
baseline,residual,384,3,35,4.317701983312367,0.0
baseline,residual,384,3,36,4.431023142555692,0.0
baseline,residual,384,3,37,3.353903453173002,0.0
baseline,residual,384,3,38,4.317701983312367,0.0
baseline,residual,384,3,39,4.415912267994735,0.0
baseline,residual,384,3,40,3.5801610422044674,0.0
baseline,residual,384,3,41,4.317701983312367,0.0
baseline,residual,384,4,0,6.695752883317332,0.0
