source,mode,cluster_size,iteration,cluster_id,max_abs_llr,snr_db
baseline,residual,24,4,14,14.471988701190586,0.0
baseline,residual,24,4,15,16.449802094135848,0.0
baseline,residual,24,4,16,14.471988701190586,0.0
baseline,residual,24,4,17,16.449802094135848,0.0
baseline,residual,24,4,18,14.471988701190586,0.0
baseline,residual,24,4,19,18.63781157626901,0.0
baseline,residual,24,4,20,15.281107842585637,0.0
baseline,residual,24,4,21,18.63781157626901,0.0
baseline,residual,24,4,22,16.449802094135848,0.0
baseline,residual,24,4,23,14.471988701190586,0.0
baseline,residual,24,5,0,18.74615054786242,0.0
baseline,residual,24,5,1,19.322674565651223,0.0
baseline,residual,24,5,2,18.74615054786242,0.0
baseline,residual,24,5,3,19.322674565651223,0.0
baseline,residual,24,5,4,18.74615054786242,0.0
baseline,residual,24,5,5,19.322674565651223,0.0
baseline,residual,24,5,6,18.74615054786242,0.0
baseline,residual,24,5,7,18.63781157626901,0.0
baseline,residual,24,5,8,18.74615054786242,0.0
baseline,residual,24,5,9,16.662565470617974,0.0
baseline,residual,24,5,10,18.74615054786242,0.0
baseline,residual,24,5,11,16.662565470617974,0.0
baseline,residual,24,5,12,18.74615054786242,0.0
baseline,residual,24,5,13,16.662565470617974,0.0
baseline,residual,24,5,14,16.662565470617974,0.0
baseline,residual,24,5,15,18.74615054786242,0.0
baseline,residual,24,5,16,14.471988701190586,0.0
baseline,residual,24,5,17,19.322674565651223,0.0
baseline,residual,24,5,18,16.662565470617974,0.0
baseline,residual,24,5,19,19.322674565651223,0.0
baseline,residual,24,5,20,16.662565470617974,0.0
baseline,residual,24,5,21,18.74615054786242,0.0
baseline,residual,24,5,22,18.74615054786242,0.0
baseline,residual,24,5,23,16.662565470617974,0.0
baseline,residual,24,6,0,21.27007250406068,0.0
baseline,residual,24,6,1,21.30657950520587,0.0
baseline,residual,24,6,2,21.27007250406068,0.0
baseline,residual,24,6,3,21.30657950520587,0.0
baseline,residual,24,6,4,21.27007250406068,0.0
baseline,residual,24,6,5,19.322674565651223,0.0
baseline,residual,24,6,6,21.27007250406068,0.0
baseline,residual,24,6,7,18.63781157626901,0.0
baseline,residual,24,6,8,21.27007250406068,0.0
baseline,residual,24,6,9,16.662565470617974,0.0
baseline,residual,24,6,10,21.27007250406068,0.0
baseline,residual,24,6,11,16.662565470617974,0.0
baseline,residual,24,6,12,21.27007250406068,0.0
baseline,residual,24,6,13,16.662565470617974,0.0
baseline,residual,24,6,14,16.662565470617974,0.0
baseline,residual,24,6,15,21.30657950520587,0.0
baseline,residual,24,6,16,15.347823020787779,0.0
baseline,residual,24,6,17,21.30657950520587,0.0
baseline,residual,24,6,18,16.662565470617974,0.0
baseline,residual,24,6,19,21.27007250406068,0.0
baseline,residual,24,6,20,18.257124063299255,0.0
baseline,residual,24,6,21,21.27007250406068,0.0
baseline,residual,24,6,22,21.27007250406068,0.0
baseline,residual,24,6,23,16.662565470617974,0.0
baseline,residual,24,7,0,21.27007250406068,0.0
baseline,residual,24,7,1,21.30657950520587,0.0
baseline,residual,24,7,2,21.27007250406068,0.0
baseline,residual,24,7,3,21.30657950520587,0.0
baseline,residual,24,7,4,21.27007250406068,0.0
baseline,residual,24,7,5,19.322674565651223,0.0
baseline,residual,24,7,6,21.27007250406068,0.0
baseline,residual,24,7,7,18.63781157626901,0.0
baseline,residual,24,7,8,21.27007250406068,0.0
baseline,residual,24,7,9,16.4878677735259,0.0
baseline,residual,24,7,10,21.27007250406068,0.0
baseline,residual,24,7,11,16.4878677735259,0.0
baseline,residual,24,7,12,21.27007250406068,0.0
baseline,residual,24,7,13,16.4878677735259,0.0
baseline,residual,24,7,14,16.4878677735259,0.0
baseline,residual,24,7,15,21.30657950520587,0.0
baseline,residual,24,7,16,15.566377248889012,0.0
baseline,residual,24,7,17,21.30657950520587,0.0
baseline,residual,24,7,18,16.4878677735259,0.0
baseline,residual,24,7,19,21.27007250406068,0.0
baseline,residual,24,7,20,18.257124063299255,0.0
baseline,residual,24,7,21,21.27007250406068,0.0
baseline,residual,24,7,22,21.27007250406068,0.0
baseline,residual,24,7,23,16.4878677735259,0.0
baseline,residual,24,8,0,21.27007250406068,0.0
baseline,residual,24,8,1,21.30657950520587,0.0
baseline,residual,24,8,2,21.27007250406068,0.0
baseline,residual,24,8,3,21.30657950520587,0.0
baseline,residual,24,8,4,21.27007250406068,0.0
baseline,residual,24,8,5,19.523257681862447,0.0
baseline,residual,24,8,6,21.27007250406068,0.0
baseline,residual,24,8,7,19.523257681862447,0.0
baseline,residual,24,8,8,21.27007250406068,0.0
baseline,residual,24,8,9,19.523257681862447,0.0
baseline,residual,24,8,10,21.27007250406068,0.0
baseline,residual,24,8,11,19.523257681862447,0.0
baseline,residual,24,8,12,21.27007250406068,0.0
baseline,residual,24,8,13,19.523257681862447,0.0
baseline,residual,24,8,14,19.523257681862447,0.0
baseline,residual,24,8,15,21.30657950520587,0.0
baseline,residual,24,8,16,19.523257681862447,0.0
baseline,residual,24,8,17,21.30657950520587,0.0
baseline,residual,24,8,18,19.523257681862447,0.0
baseline,residual,24,8,19,21.27007250406068,0.0
baseline,residual,24,8,20,19.523257681862447,0.0
baseline,residual,24,8,21,21.27007250406068,0.0
baseline,residual,24,8,22,21.27007250406068,0.0
baseline,residual,24,8,23,19.523257681862447,0.0
baseline,residual,24,9,0,21.27007250406068,0.0
baseline,residual,24,9,1,22.328681955870454,0.0
baseline,residual,24,9,2,21.27007250406068,0.0
baseline,residual,24,9,3,22.328681955870454,0.0
baseline,residual,24,9,4,21.27007250406068,0.0
baseline,residual,24,9,5,22.328681955870454,0.0
baseline,residual,24,9,6,21.27007250406068,0.0
baseline,residual,24,9,7,22.328681955870454,0.0
baseline,residual,24,9,8,21.27007250406068,0.0
baseline,residual,24,9,9,22.328681955870454,0.0
baseline,residual,24,9,10,21.27007250406068,0.0
baseline,residual,24,9,11,22.328681955870454,0.0
baseline,residual,24,9,12,21.27007250406068,0.0
baseline,residual,24,9,13,22.328681955870454,0.0
baseline,residual,24,9,14,22.328681955870454,0.0
baseline,residual,24,9,15,21.30657950520587,0.0
baseline,residual,24,9,16,22.328681955870454,0.0
baseline,residual,24,9,17,21.30657950520587,0.0
baseline,residual,24,9,18,22.328681955870454,0.0
baseline,residual,24,9,19,21.27007250406068,0.0
baseline,residual,24,9,20,22.328681955870454,0.0
baseline,residual,24,9,21,21.27007250406068,0.0
baseline,residual,24,9,22,21.27007250406068,0.0
baseline,residual,24,9,23,22.328681955870454,0.0
baseline,residual,24,10,0,21.27007250406068,0.0
baseline,residual,24,10,1,23.05247337141547,0.0
baseline,residual,24,10,2,21.27007250406068,0.0
baseline,residual,24,10,3,23.05247337141547,0.0
baseline,residual,24,10,4,21.27007250406068,0.0
baseline,residual,24,10,5,23.05247337141547,0.0
baseline,residual,24,10,6,21.27007250406068,0.0
baseline,residual,24,10,7,23.05247337141547,0.0
baseline,residual,24,10,8,21.27007250406068,0.0
baseline,residual,24,10,9,23.05247337141547,0.0
