source,mode,cluster_size,iteration,cluster_id,max_residual,snr_db
baseline,residual,48,11,2,0.0,0.0
baseline,residual,48,11,3,0.0,0.0
baseline,residual,48,11,4,0.0,0.0
baseline,residual,48,11,5,0.0,0.0
baseline,residual,48,11,6,0.0,0.0
baseline,residual,48,11,7,0.0,0.0
baseline,residual,48,11,8,0.0,0.0
baseline,residual,48,11,9,0.0,0.0
baseline,residual,48,11,10,0.0,0.0
baseline,residual,48,11,11,0.0,0.0
baseline,residual,48,12,0,0.0,0.0
baseline,residual,48,12,1,0.0,0.0
baseline,residual,48,12,2,0.0,0.0
baseline,residual,48,12,3,0.0,0.0
baseline,residual,48,12,4,0.0,0.0
baseline,residual,48,12,5,0.0,0.0
baseline,residual,48,12,6,0.0,0.0
baseline,residual,48,12,7,0.0,0.0
baseline,residual,48,12,8,0.0,0.0
baseline,residual,48,12,9,0.0,0.0
baseline,residual,48,12,10,0.0,0.0
baseline,residual,48,12,11,0.0,0.0
baseline,residual,48,13,0,0.0,0.0
baseline,residual,48,13,1,0.0,0.0
baseline,residual,48,13,2,0.0,0.0
baseline,residual,48,13,3,0.0,0.0
baseline,residual,48,13,4,0.0,0.0
baseline,residual,48,13,5,0.0,0.0
baseline,residual,48,13,6,0.0,0.0
baseline,residual,48,13,7,0.0,0.0
baseline,residual,48,13,8,0.0,0.0
baseline,residual,48,13,9,0.0,0.0
baseline,residual,48,13,10,0.0,0.0
baseline,residual,48,13,11,0.0,0.0
baseline,residual,48,14,0,0.0,0.0
baseline,residual,48,14,1,0.0,0.0
baseline,residual,48,14,2,0.0,0.0
baseline,residual,48,14,3,0.0,0.0
baseline,residual,48,14,4,0.0,0.0
baseline,residual,48,14,5,0.0,0.0
baseline,residual,48,14,6,0.0,0.0
baseline,residual,48,14,7,0.0,0.0
baseline,residual,48,14,8,0.0,0.0
baseline,residual,48,14,9,0.0,0.0
baseline,residual,48,14,10,0.0,0.0
baseline,residual,48,14,11,0.0,0.0
baseline,residual,48,15,0,0.0,0.0
baseline,residual,48,15,1,0.0,0.0
baseline,residual,48,15,2,0.0,0.0
baseline,residual,48,15,3,0.0,0.0
baseline,residual,48,15,4,0.0,0.0
baseline,residual,48,15,5,0.0,0.0
baseline,residual,48,15,6,0.0,0.0
baseline,residual,48,15,7,0.0,0.0
baseline,residual,48,15,8,0.0,0.0
baseline,residual,48,15,9,0.0,0.0
baseline,residual,48,15,10,0.0,0.0
baseline,residual,48,15,11,0.0,0.0
baseline,residual,48,16,0,0.0,0.0
baseline,residual,48,16,1,0.0,0.0
baseline,residual,48,16,2,0.0,0.0
baseline,residual,48,16,3,0.0,0.0
baseline,residual,48,16,4,0.0,0.0
baseline,residual,48,16,5,0.0,0.0
baseline,residual,48,16,6,0.0,0.0
baseline,residual,48,16,7,0.0,0.0
baseline,residual,48,16,8,0.0,0.0
baseline,residual,48,16,9,0.0,0.0
baseline,residual,48,16,10,0.0,0.0
baseline,residual,48,16,11,0.0,0.0
baseline,residual,48,17,0,0.0,0.0
baseline,residual,48,17,1,0.0,0.0
baseline,residual,48,17,2,0.0,0.0
baseline,residual,48,17,3,0.0,0.0
baseline,residual,48,17,4,0.0,0.0
baseline,residual,48,17,5,0.0,0.0
baseline,residual,48,17,6,0.0,0.0
baseline,residual,48,17,7,0.0,0.0
baseline,residual,48,17,8,0.0,0.0
baseline,residual,48,17,9,0.0,0.0
baseline,residual,48,17,10,0.0,0.0
baseline,residual,48,17,11,0.0,0.0
baseline,residual,48,18,0,0.0,0.0
baseline,residual,48,18,1,0.0,0.0
baseline,residual,48,18,2,0.0,0.0
baseline,residual,48,18,3,0.0,0.0
baseline,residual,48,18,4,0.0,0.0
baseline,residual,48,18,5,0.0,0.0
baseline,residual,48,18,6,0.0,0.0
baseline,residual,48,18,7,0.0,0.0
baseline,residual,48,18,8,0.0,0.0
baseline,residual,48,18,9,0.0,0.0
baseline,residual,48,18,10,0.0,0.0
baseline,residual,48,18,11,0.0,0.0
baseline,residual,48,19,0,0.0,0.0
baseline,residual,48,19,1,0.0,0.0
baseline,residual,48,19,2,0.0,0.0
baseline,residual,48,19,3,0.0,0.0
baseline,residual,48,19,4,0.0,0.0
baseline,residual,48,19,5,0.0,0.0
baseline,residual,48,19,6,0.0,0.0
baseline,residual,48,19,7,0.0,0.0
baseline,residual,48,19,8,0.0,0.0
baseline,residual,48,19,9,0.0,0.0
baseline,residual,48,19,10,0.0,0.0
baseline,residual,48,19,11,0.0,0.0
baseline,residual,48,20,0,0.0,0.0
baseline,residual,48,20,1,0.0,0.0
baseline,residual,48,20,2,0.0,0.0
baseline,residual,48,20,3,0.0,0.0
baseline,residual,48,20,4,0.0,0.0
baseline,residual,48,20,5,0.0,0.0
baseline,residual,48,20,6,0.0,0.0
baseline,residual,48,20,7,0.0,0.0
baseline,residual,48,20,8,0.0,0.0
baseline,residual,48,20,9,0.0,0.0
baseline,residual,48,20,10,0.0,0.0
baseline,residual,48,20,11,0.0,0.0
baseline,residual,48,21,0,0.0,0.0
baseline,residual,48,21,1,0.0,0.0
baseline,residual,48,21,2,0.0,0.0
baseline,residual,48,21,3,0.0,0.0
baseline,residual,48,21,4,0.0,0.0
baseline,residual,48,21,5,0.0,0.0
baseline,residual,48,21,6,0.0,0.0
baseline,residual,48,21,7,0.0,0.0
baseline,residual,48,21,8,0.0,0.0
baseline,residual,48,21,9,0.0,0.0
baseline,residual,48,21,10,0.0,0.0
baseline,residual,48,21,11,0.0,0.0
baseline,residual,48,22,0,0.0,0.0
baseline,residual,48,22,1,0.0,0.0
baseline,residual,48,22,2,0.0,0.0
baseline,residual,48,22,3,0.0,0.0
baseline,residual,48,22,4,0.0,0.0
baseline,residual,48,22,5,0.0,0.0
baseline,residual,48,22,6,0.0,0.0
baseline,residual,48,22,7,0.0,0.0
baseline,residual,48,22,8,0.0,0.0
baseline,residual,48,22,9,0.0,0.0
baseline,residual,48,22,10,0.0,0.0
baseline,residual,48,22,11,0.0,0.0
baseline,residual,48,23,0,0.0,0.0
baseline,residual,48,23,1,0.0,0.0
baseline,residual,48,23,2,0.0,0.0
baseline,residual,48,23,3,0.0,0.0
baseline,residual,48,23,4,0.0,0.0
baseline,residual,48,23,5,0.0,0.0
baseline,residual,48,23,6,0.0,0.0
baseline,residual,48,23,7,0.0,0.0
baseline,residual,48,23,8,0.0,0.0
baseline,residual,48,23,9,0.0,0.0
baseline,residual,48,23,10,0.0,0.0
