source,mode,cluster_size,iteration,cluster_id,avg_abs_llr,snr_db
rl,dqn | LDPC-DiscreteResidual-v0,48,5,5,6.711917261339843,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,5,6,5.493035786238488,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,5,7,4.97459861011644,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,5,8,5.802023875534653,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,5,9,5.495206652511173,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,5,10,5.828020712099605,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,5,11,7.185916040419245,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,6,0,5.3748204855194865,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,6,1,5.18553329494415,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,6,2,5.685824769049844,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,6,3,5.23776532533059,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,6,4,5.840081353044848,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,6,5,6.711917261339843,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,6,6,5.493035786238488,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,6,7,4.97459861011644,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,6,8,5.802023875534653,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,6,9,5.495206652511173,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,6,10,5.828020712099605,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,6,11,7.185916040419245,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,7,0,5.3748204855194865,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,7,1,5.18553329494415,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,7,2,5.685824769049844,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,7,3,5.23776532533059,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,7,4,5.840081353044848,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,7,5,6.711917261339843,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,7,6,5.493035786238488,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,7,7,4.97459861011644,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,7,8,5.802023875534654,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,7,9,5.495206652511173,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,7,10,5.828020712099605,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,7,11,7.185916040419245,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,8,0,5.3748204855194865,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,8,1,5.18553329494415,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,8,2,5.685824769049844,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,8,3,5.23776532533059,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,8,4,5.840081353044848,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,8,5,6.711917261339843,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,8,6,5.493035786238488,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,8,7,4.97459861011644,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,8,8,5.802023875534653,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,8,9,5.495206652511173,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,8,10,5.828020712099605,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,8,11,7.185916040419245,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,9,0,5.3748204855194865,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,9,1,5.18553329494415,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,9,2,5.685824769049844,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,9,3,5.23776532533059,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,9,4,5.840081353044848,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,9,5,6.711917261339843,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,9,6,5.493035786238488,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,9,7,4.97459861011644,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,9,8,5.802023875534654,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,9,9,5.495206652511173,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,9,10,5.828020712099605,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,9,11,7.185916040419245,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,10,0,5.3748204855194865,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,10,1,5.18553329494415,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,10,2,5.685824769049844,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,10,3,5.23776532533059,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,10,4,5.840081353044848,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,10,5,6.711917261339843,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,10,6,5.493035786238488,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,10,7,4.97459861011644,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,10,8,5.802023875534653,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,10,9,5.495206652511173,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,10,10,5.828020712099605,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,10,11,7.185916040419245,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,11,0,5.3748204855194865,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,11,1,5.18553329494415,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,11,2,5.685824769049844,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,11,3,5.23776532533059,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,11,4,5.840081353044848,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,11,5,6.711917261339843,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,11,6,5.493035786238488,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,11,7,4.97459861011644,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,11,8,5.802023875534654,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,11,9,5.495206652511173,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,11,10,5.828020712099605,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,11,11,7.185916040419245,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,12,0,5.3748204855194865,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,12,1,5.18553329494415,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,12,2,5.685824769049844,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,12,3,5.23776532533059,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,12,4,5.840081353044848,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,12,5,6.711917261339843,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,12,6,5.493035786238488,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,12,7,4.97459861011644,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,12,8,5.802023875534653,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,12,9,5.495206652511173,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,12,10,5.828020712099605,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,12,11,7.185916040419245,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,13,0,5.3748204855194865,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,13,1,5.18553329494415,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,13,2,5.685824769049844,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,13,3,5.23776532533059,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,13,4,5.840081353044848,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,13,5,6.711917261339843,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,13,6,5.493035786238488,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,13,7,4.97459861011644,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,13,8,5.802023875534654,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,13,9,5.495206652511173,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,13,10,5.828020712099605,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,13,11,7.185916040419245,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,14,0,5.3748204855194865,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,14,1,5.18553329494415,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,14,2,5.685824769049844,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,14,3,5.23776532533059,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,14,4,5.840081353044848,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,14,5,6.711917261339843,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,14,6,5.493035786238488,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,14,7,4.97459861011644,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,14,8,5.802023875534653,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,14,9,5.495206652511173,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,14,10,5.828020712099605,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,14,11,7.185916040419245,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,15,0,5.3748204855194865,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,15,1,5.18553329494415,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,15,2,5.685824769049844,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,15,3,5.23776532533059,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,15,4,5.840081353044848,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,15,5,6.711917261339843,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,15,6,5.493035786238488,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,15,7,4.97459861011644,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,15,8,5.802023875534654,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,15,9,5.495206652511173,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,15,10,5.828020712099605,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,15,11,7.185916040419245,0.0
rl,dqn | LDPC-DiscreteResidual-v0,48,16,0,5.3748204855194865,0.0
