row,col
159,434
160,78
160,181
160,210
160,323
160,458
161,68
161,198
161,204
161,329
161,456
162,76
162,193
162,207
162,333
162,440
163,71
163,195
163,215
163,330
163,452
164,61
164,185
164,201
164,322
164,449
165,79
165,192
165,217
165,337
165,446
166,62
166,194
166,206
166,338
166,459
167,75
167,188
167,202
167,321
167,455
168,64
168,186
168,216
168,324
168,447
169,66
169,182
169,212
169,332
169,445
170,65
170,180
170,205
170,339
170,453
171,67
171,191
171,214
171,334
171,454
172,69
172,196
172,203
172,327
172,448
173,74
173,189
173,209
173,335
173,444
174,72
174,184
174,218
174,328
174,451
175,63
175,190
175,211
175,326
175,441
176,73
176,187
176,208
176,320
176,457
177,70
177,183
177,219
177,325
177,442
178,77
178,199
178,213
178,336
178,443
179,60
179,197
179,200
179,331
179,450
180,98
180,100
180,226
180,349
180,463
181,87
181,116
181,228
181,345
181,469
182,80
182,115
182,231
182,356
182,471
183,95
183,112
183,233
183,353
183,461
184,99
184,107
184,232
184,342
184,464
185,84
185,113
185,225
185,355
185,468
186,83
186,109
186,229
186,346
186,462
187,81
187,102
187,227
187,340
187,473
188,92
188,118
188,238
188,354
188,465
189,88
189,105
189,221
189,352
189,472
190,90
190,119
190,223
190,343
190,476
191,96
191,101
191,239
191,341
191,466
192,93
192,103
192,224
192,357
192,470
193,91
193,111
193,222
193,347
193,467
194,94
194,114
194,235
194,358
194,474
195,85
195,104
195,234
195,344
195,478
196,82
196,110
196,237
196,359
196,475
197,86
197,117
197,230
197,350
197,479
198,97
198,106
198,220
198,348
198,477
199,89
199,108
199,236
199,351
199,460
200,3
200,140
200,290
200,338
200,471
201,5
201,156
201,294
201,325
201,470
202,11
202,149
202,284
202,329
202,468
203,13
203,144
203,285
203,321
203,469
204,19
204,152
204,291
204,336
204,467
205,4
205,145
205,282
205,332
205,473
206,10
206,150
206,293
206,331
206,478
207,17
207,146
207,295
207,320
207,465
208,2
208,158
208,299
208,324
208,476
209,8
209,151
209,281
209,322
209,472
210,12
210,148
210,280
210,326
210,461
211,18
211,154
211,286
211,323
211,464
212,1
212,147
212,298
212,334
212,462
213,14
213,159
213,297
213,335
213,479
214,7
214,153
214,296
214,328
214,475
215,9
215,142
215,288
215,327
215,466
216,6
216,157
216,287
216,339
216,460
217,0
217,141
217,283
217,333
217,474
218,15
218,155
218,292
218,337
218,463
219,16
219,143
219,289
219,330
219,477
220,30
220,162
220,219
220,345
220,498
221,34
221,165
221,218
221,340
