iteration,mean_residual,p25_residual,p75_residual,mean_residual_norm,p25_residual_norm,p75_residual_norm
0,34277.41247835195,34018.430540760426,34532.61373308219,1.0,0.9924445307021035,1.0074451726743205
1,33534.52693253035,33271.60959644122,33799.75326455898,0.9783272571612349,0.9706569776074566,0.98606489874069
2,33534.52693253035,33271.60959644122,33799.75326455898,0.9783272571612349,0.9706569776074566,0.98606489874069
3,33534.52693253035,33271.60959644122,33799.75326455898,0.9783272571612349,0.9706569776074566,0.98606489874069
4,33534.52693253035,33271.60959644122,33799.75326455898,0.9783272571612349,0.9706569776074566,0.98606489874069
5,33534.52693253035,33271.60959644122,33799.75326455898,0.9783272571612349,0.9706569776074566,0.98606489874069
6,33534.52693253035,33271.60959644122,33799.75326455898,0.9783272571612349,0.9706569776074566,0.98606489874069
7,33534.52693253035,33271.60959644122,33799.75326455898,0.9783272571612349,0.9706569776074566,0.98606489874069
8,33534.52693253035,33271.60959644122,33799.75326455898,0.9783272571612349,0.9706569776074566,0.98606489874069
9,33534.52693253035,33271.60959644122,33799.75326455898,0.9783272571612349,0.9706569776074566,0.98606489874069
10,33534.52693253035,33271.60959644122,33799.75326455898,0.9783272571612349,0.9706569776074566,0.98606489874069
11,33534.52693253035,33271.60959644122,33799.75326455898,0.9783272571612349,0.9706569776074566,0.98606489874069
12,33534.52693253035,33271.60959644122,33799.75326455898,0.9783272571612349,0.9706569776074566,0.98606489874069
13,33534.52693253035,33271.60959644122,33799.75326455898,0.9783272571612349,0.9706569776074566,0.98606489874069
14,33534.52693253035,33271.60959644122,33799.75326455898,0.9783272571612349,0.9706569776074566,0.98606489874069
15,33534.52693253035,33271.60959644122,33799.75326455898,0.9783272571612349,0.9706569776074566,0.98606489874069
16,33534.52693253035,33271.60959644122,33799.75326455898,0.9783272571612349,0.9706569776074566,0.98606489874069
17,33534.52693253035,33271.60959644122,33799.75326455898,0.9783272571612349,0.9706569776074566,0.98606489874069
18,33534.52693253035,33271.60959644122,33799.75326455898,0.9783272571612349,0.9706569776074566,0.98606489874069
19,33534.52693253035,33271.60959644122,33799.75326455898,0.9783272571612349,0.9706569776074566,0.98606489874069
20,33534.52693253035,33271.60959644122,33799.75326455898,0.9783272571612349,0.9706569776074566,0.98606489874069
21,33534.52693253035,33271.60959644122,33799.75326455898,0.9783272571612349,0.9706569776074566,0.98606489874069
22,33534.52693253035,33271.60959644122,33799.75326455898,0.9783272571612349,0.9706569776074566,0.98606489874069
23,33534.52693253035,33271.60959644122,33799.75326455898,0.9783272571612349,0.9706569776074566,0.98606489874069
24,33534.52693253035,33271.60959644122,33799.75326455898,0.9783272571612349,0.9706569776074566,0.98606489874069
25,33534.52693253035,33271.60959644122,33799.75326455898,0.9783272571612349,0.9706569776074566,0.98606489874069
