iteration,mean_residual,p25_residual,p75_residual,mean_residual_norm,p25_residual_norm,p75_residual_norm
0,34277.41247835195,34018.430540760426,34532.61373308219,1.0,0.9924445307021035,1.0074451726743205
1,33287.53036028495,33006.849307188386,33536.40535632716,0.9711214456840299,0.9629329322344271,0.9783820577911831
2,33287.53036028495,33006.849307188386,33536.40535632716,0.9711214456840299,0.9629329322344271,0.9783820577911831
3,33287.53036028495,33006.849307188386,33536.40535632716,0.9711214456840299,0.9629329322344271,0.9783820577911831
4,33287.53036028495,33006.849307188386,33536.40535632716,0.9711214456840299,0.9629329322344271,0.9783820577911831
5,33287.53036028495,33006.849307188386,33536.40535632716,0.9711214456840299,0.9629329322344271,0.9783820577911831
6,33287.53036028495,33006.849307188386,33536.40535632716,0.9711214456840299,0.9629329322344271,0.9783820577911831
7,33287.53036028495,33006.849307188386,33536.40535632716,0.9711214456840299,0.9629329322344271,0.9783820577911831
8,33287.53036028495,33006.849307188386,33536.40535632716,0.9711214456840299,0.9629329322344271,0.9783820577911831
9,33287.53036028495,33006.849307188386,33536.40535632716,0.9711214456840299,0.9629329322344271,0.9783820577911831
10,33287.53036028495,33006.849307188386,33536.40535632716,0.9711214456840299,0.9629329322344271,0.9783820577911831
11,33287.53036028495,33006.849307188386,33536.40535632716,0.9711214456840299,0.9629329322344271,0.9783820577911831
12,33287.53036028495,33006.849307188386,33536.40535632716,0.9711214456840299,0.9629329322344271,0.9783820577911831
13,33287.53036028495,33006.849307188386,33536.40535632716,0.9711214456840299,0.9629329322344271,0.9783820577911831
14,33287.53036028495,33006.849307188386,33536.40535632716,0.9711214456840299,0.9629329322344271,0.9783820577911831
15,33287.53036028495,33006.849307188386,33536.40535632716,0.9711214456840299,0.9629329322344271,0.9783820577911831
16,33287.53036028495,33006.849307188386,33536.40535632716,0.9711214456840299,0.9629329322344271,0.9783820577911831
17,33287.53036028495,33006.849307188386,33536.40535632716,0.9711214456840299,0.9629329322344271,0.9783820577911831
18,33287.53036028495,33006.849307188386,33536.40535632716,0.9711214456840299,0.9629329322344271,0.9783820577911831
19,33287.53036028495,33006.849307188386,33536.40535632716,0.9711214456840299,0.9629329322344271,0.9783820577911831
20,33287.53036028495,33006.849307188386,33536.40535632716,0.9711214456840299,0.9629329322344271,0.9783820577911831
21,33287.53036028495,33006.849307188386,33536.40535632716,0.9711214456840299,0.9629329322344271,0.9783820577911831
22,33287.53036028495,33006.849307188386,33536.40535632716,0.9711214456840299,0.9629329322344271,0.9783820577911831
23,33287.53036028495,33006.849307188386,33536.40535632716,0.9711214456840299,0.9629329322344271,0.9783820577911831
24,33287.53036028495,33006.849307188386,33536.40535632716,0.9711214456840299,0.9629329322344271,0.9783820577911831
25,33287.53036028495,33006.849307188386,33536.40535632716,0.9711214456840299,0.9629329322344271,0.9783820577911831
26,33287.53036028495,33006.849307188386,33536.40535632716,0.9711214456840299,0.9629329322344271,0.9783820577911831
27,33287.53036028495,33006.849307188386,33536.40535632716,0.9711214456840299,0.9629329322344271,0.9783820577911831
28,33287.53036028495,33006.849307188386,33536.40535632716,0.9711214456840299,0.9629329322344271,0.9783820577911831
29,33287.53036028495,33006.849307188386,33536.40535632716,0.9711214456840299,0.9629329322344271,0.9783820577911831
30,33287.53036028495,33006.849307188386,33536.40535632716,0.9711214456840299,0.9629329322344271,0.9783820577911831
