source,mode,cluster_size,iteration,cluster_id,max_residual,snr_db
baseline,layered,24,4,15,5.4100879666559765,0.0
baseline,layered,24,4,16,4.337367404442795,0.0
baseline,layered,24,4,17,5.512092644668852,0.0
baseline,layered,24,4,18,3.8438057405965758,0.0
baseline,layered,24,4,19,6.048170256893621,0.0
baseline,layered,24,4,20,5.682811077897046,0.0
baseline,layered,24,4,21,8.295391488466219,0.0
baseline,layered,24,4,22,5.986041034392833,0.0
baseline,layered,24,4,23,4.597689936596569,0.0
baseline,layered,24,5,0,0.0,0.0
baseline,layered,24,5,1,0.0,0.0
baseline,layered,24,5,2,0.0,0.0
baseline,layered,24,5,3,0.0,0.0
baseline,layered,24,5,4,0.0,0.0
baseline,layered,24,5,5,3.4667893163498062,0.0
baseline,layered,24,5,6,4.726163627035912,0.0
baseline,layered,24,5,7,4.144268395993943,0.0
baseline,layered,24,5,8,5.2809971617544935,0.0
baseline,layered,24,5,9,4.747910323911438,0.0
baseline,layered,24,5,10,4.432956359640149,0.0
baseline,layered,24,5,11,4.391765823034438,0.0
baseline,layered,24,5,12,5.195143103920704,0.0
baseline,layered,24,5,13,5.747506973412645,0.0
baseline,layered,24,5,14,5.23704952153753,0.0
baseline,layered,24,5,15,5.4100879666559765,0.0
baseline,layered,24,5,16,4.337367404442795,0.0
baseline,layered,24,5,17,5.512092644668852,0.0
baseline,layered,24,5,18,3.8438057405965758,0.0
baseline,layered,24,5,19,6.048170256893621,0.0
baseline,layered,24,5,20,5.682811077897046,0.0
baseline,layered,24,5,21,8.295391488466219,0.0
baseline,layered,24,5,22,5.986041034392833,0.0
baseline,layered,24,5,23,4.597689936596569,0.0
baseline,layered,24,6,0,0.0,0.0
baseline,layered,24,6,1,0.0,0.0
baseline,layered,24,6,2,0.0,0.0
baseline,layered,24,6,3,0.0,0.0
baseline,layered,24,6,4,0.0,0.0
baseline,layered,24,6,5,0.0,0.0
baseline,layered,24,6,6,4.726163627035912,0.0
baseline,layered,24,6,7,4.144268395993943,0.0
baseline,layered,24,6,8,5.2809971617544935,0.0
baseline,layered,24,6,9,4.747910323911438,0.0
baseline,layered,24,6,10,4.432956359640149,0.0
baseline,layered,24,6,11,4.391765823034438,0.0
baseline,layered,24,6,12,5.195143103920704,0.0
baseline,layered,24,6,13,5.747506973412645,0.0
baseline,layered,24,6,14,5.23704952153753,0.0
baseline,layered,24,6,15,5.4100879666559765,0.0
baseline,layered,24,6,16,4.337367404442795,0.0
baseline,layered,24,6,17,5.512092644668852,0.0
baseline,layered,24,6,18,3.8438057405965758,0.0
baseline,layered,24,6,19,6.048170256893621,0.0
baseline,layered,24,6,20,5.682811077897046,0.0
baseline,layered,24,6,21,8.295391488466219,0.0
baseline,layered,24,6,22,5.986041034392833,0.0
baseline,layered,24,6,23,4.597689936596569,0.0
baseline,layered,24,7,0,0.0,0.0
baseline,layered,24,7,1,0.0,0.0
baseline,layered,24,7,2,0.0,0.0
baseline,layered,24,7,3,0.0,0.0
