iteration,mean_residual,p25_residual,p75_residual,mean_residual_norm,p25_residual_norm,p75_residual_norm
0,1211.5895867584275,1169.333933479674,1250.584800020933,1.0,0.9651237896556975,1.0321851670637383
1,1180.694698350253,1144.3266177062999,1218.6331342122667,0.9745005332285557,0.9444837015873604,1.0058134763873994
2,1180.694698350253,1144.3266177062999,1218.6331342122667,0.9745005332285557,0.9444837015873604,1.0058134763873994
3,1180.694698350253,1144.3266177062999,1218.6331342122667,0.9745005332285557,0.9444837015873604,1.0058134763873994
4,1180.694698350253,1144.3266177062999,1218.6331342122667,0.9745005332285557,0.9444837015873604,1.0058134763873994
5,1180.694698350253,1144.3266177062999,1218.6331342122667,0.9745005332285557,0.9444837015873604,1.0058134763873994
6,1180.694698350253,1144.3266177062999,1218.6331342122667,0.9745005332285557,0.9444837015873604,1.0058134763873994
7,1180.694698350253,1144.3266177062999,1218.6331342122667,0.9745005332285557,0.9444837015873604,1.0058134763873994
8,1180.694698350253,1144.3266177062999,1218.6331342122667,0.9745005332285557,0.9444837015873604,1.0058134763873994
9,1180.694698350253,1144.3266177062999,1218.6331342122667,0.9745005332285557,0.9444837015873604,1.0058134763873994
10,1180.694698350253,1144.3266177062999,1218.6331342122667,0.9745005332285557,0.9444837015873604,1.0058134763873994
11,1180.694698350253,1144.3266177062999,1218.6331342122667,0.9745005332285557,0.9444837015873604,1.0058134763873994
12,1180.694698350253,1144.3266177062999,1218.6331342122667,0.9745005332285557,0.9444837015873604,1.0058134763873994
13,1180.694698350253,1144.3266177062999,1218.6331342122667,0.9745005332285557,0.9444837015873604,1.0058134763873994
14,1180.694698350253,1144.3266177062999,1218.6331342122667,0.9745005332285557,0.9444837015873604,1.0058134763873994
15,1180.694698350253,1144.3266177062999,1218.6331342122667,0.9745005332285557,0.9444837015873604,1.0058134763873994
16,1180.694698350253,1144.3266177062999,1218.6331342122667,0.9745005332285557,0.9444837015873604,1.0058134763873994
17,1180.694698350253,1144.3266177062999,1218.6331342122667,0.9745005332285557,0.9444837015873604,1.0058134763873994
18,1180.694698350253,1144.3266177062999,1218.6331342122667,0.9745005332285557,0.9444837015873604,1.0058134763873994
19,1180.694698350253,1144.3266177062999,1218.6331342122667,0.9745005332285557,0.9444837015873604,1.0058134763873994
20,1180.694698350253,1144.3266177062999,1218.6331342122667,0.9745005332285557,0.9444837015873604,1.0058134763873994
21,1180.694698350253,1144.3266177062999,1218.6331342122667,0.9745005332285557,0.9444837015873604,1.0058134763873994
22,1180.694698350253,1144.3266177062999,1218.6331342122667,0.9745005332285557,0.9444837015873604,1.0058134763873994
23,1180.694698350253,1144.3266177062999,1218.6331342122667,0.9745005332285557,0.9444837015873604,1.0058134763873994
24,1180.694698350253,1144.3266177062999,1218.6331342122667,0.9745005332285557,0.9444837015873604,1.0058134763873994
25,1180.694698350253,1144.3266177062999,1218.6331342122667,0.9745005332285557,0.9444837015873604,1.0058134763873994
26,1180.694698350253,1144.3266177062999,1218.6331342122667,0.9745005332285557,0.9444837015873604,1.0058134763873994
27,1180.694698350253,1144.3266177062999,1218.6331342122667,0.9745005332285557,0.9444837015873604,1.0058134763873994
28,1180.694698350253,1144.3266177062999,1218.6331342122667,0.9745005332285557,0.9444837015873604,1.0058134763873994
29,1180.694698350253,1144.3266177062999,1218.6331342122667,0.9745005332285557,0.9444837015873604,1.0058134763873994
30,1180.694698350253,1144.3266177062999,1218.6331342122667,0.9745005332285557,0.9444837015873604,1.0058134763873994
31,1180.694698350253,1144.3266177062999,1218.6331342122667,0.9745005332285557,0.9444837015873604,1.0058134763873994
32,1180.694698350253,1144.3266177062999,1218.6331342122667,0.9745005332285557,0.9444837015873604,1.0058134763873994
33,1180.694698350253,1144.3266177062999,1218.6331342122667,0.9745005332285557,0.9444837015873604,1.0058134763873994
34,1180.694698350253,1144.3266177062999,1218.6331342122667,0.9745005332285557,0.9444837015873604,1.0058134763873994
35,1180.694698350253,1144.3266177062999,1218.6331342122667,0.9745005332285557,0.9444837015873604,1.0058134763873994
36,1180.694698350253,1144.3266177062999,1218.6331342122667,0.9745005332285557,0.9444837015873604,1.0058134763873994
37,1180.694698350253,1144.3266177062999,1218.6331342122667,0.9745005332285557,0.9444837015873604,1.0058134763873994
38,1180.694698350253,1144.3266177062999,1218.6331342122667,0.9745005332285557,0.9444837015873604,1.0058134763873994
39,1180.694698350253,1144.3266177062999,1218.6331342122667,0.9745005332285557,0.9444837015873604,1.0058134763873994
40,1180.694698350253,1144.3266177062999,1218.6331342122667,0.9745005332285557,0.9444837015873604,1.0058134763873994
41,1180.694698350253,1144.3266177062999,1218.6331342122667,0.9745005332285557,0.9444837015873604,1.0058134763873994
42,1180.694698350253,1144.3266177062999,1218.6331342122667,0.9745005332285557,0.9444837015873604,1.0058134763873994
43,1180.694698350253,1144.3266177062999,1218.6331342122667,0.9745005332285557,0.9444837015873604,1.0058134763873994
44,1180.694698350253,1144.3266177062999,1218.6331342122667,0.9745005332285557,0.9444837015873604,1.0058134763873994
45,1180.694698350253,1144.3266177062999,1218.6331342122667,0.9745005332285557,0.9444837015873604,1.0058134763873994
46,1180.694698350253,1144.3266177062999,1218.6331342122667,0.9745005332285557,0.9444837015873604,1.0058134763873994
47,1180.694698350253,1144.3266177062999,1218.6331342122667,0.9745005332285557,0.9444837015873604,1.0058134763873994
48,1180.694698350253,1144.3266177062999,1218.6331342122667,0.9745005332285557,0.9444837015873604,1.0058134763873994
49,1180.694698350253,1144.3266177062999,1218.6331342122667,0.9745005332285557,0.9444837015873604,1.0058134763873994
