source,mode,cluster_size,iteration,cluster_id,avg_abs_llr,snr_db
rl,ppo | LDPC-DiscreteResidual-v0,48,5,5,4.29075749840852,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,5,6,4.494675271900407,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,5,7,4.762762835787541,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,5,8,4.25316699140053,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,5,9,4.353469575310231,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,5,10,4.122532849190943,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,5,11,4.524595247754992,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,6,0,4.332440368745479,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,6,1,4.24608393784969,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,6,2,4.035122279627402,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,6,3,4.274589181701081,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,6,4,4.277683701267653,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,6,5,4.29075749840852,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,6,6,4.494675271900407,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,6,7,4.762762835787541,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,6,8,4.25316699140053,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,6,9,4.353469575310231,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,6,10,4.122532849190943,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,6,11,4.524595247754992,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,7,0,4.332440368745479,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,7,1,4.24608393784969,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,7,2,4.035122279627402,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,7,3,4.274589181701081,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,7,4,4.277683701267653,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,7,5,4.29075749840852,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,7,6,4.494675271900407,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,7,7,4.762762835787541,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,7,8,4.25316699140053,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,7,9,4.353469575310231,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,7,10,4.122532849190943,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,7,11,4.524595247754992,0.0
rl,ppo | LDPC-DiscreteResidual-v0,48,8,0,4.332440368745479,0.0
